label,4_u1_200_p(1)
time_s,raw
0.000000000,1142.000000
0.000113379,777.000000
0.000226757,-2501.000000
0.000340136,1490.500000
0.000453515,807.500000
0.000566893,-2068.500000
0.000680272,1879.000000
0.000793651,591.000000
0.000907029,-2275.500000
0.001020408,1782.000000
0.001133787,-82.500000
0.001247166,-2294.000000
0.001360544,1913.000000
0.001473923,-327.000000
0.001587302,-1813.000000
0.001700680,2161.500000
0.001814059,-471.500000
0.001927438,-1794.000000
0.002040816,2074.500000
0.002154195,-989.000000
0.002267574,-1369.500000
0.002380952,2302.000000
0.002494331,-1163.000000
0.002607710,-1324.000000
0.002721088,2090.500000
0.002834467,-1486.500000
0.002947846,-774.500000
0.003061224,2489.500000
0.003174603,-1260.500000
0.003287982,-566.500000
0.003401361,1992.500000
0.003514739,-2131.500000
0.003628118,-525.500000
0.003741497,2275.500000
0.003854875,-1613.000000
0.003968254,186.000000
0.004081633,2021.000000
0.004195011,-1919.000000
0.004308390,253.500000
0.004421769,1846.500000
0.004535147,-1991.500000
0.004648526,507.000000
0.004761905,1589.500000
0.004875283,-2237.000000
0.004988662,905.000000
0.005102041,1552.000000
0.005215420,-1930.500000
0.005328798,1240.500000
0.005442177,1238.000000
0.005555556,-2266.500000
0.005668934,1183.500000
0.005782313,844.500000
0.005895692,-2152.500000
0.006009070,1525.000000
0.006122449,568.500000
0.006235828,-2284.000000
0.006349206,1452.500000
0.006462585,208.000000
0.006575964,-2010.000000
0.006689342,1901.000000
0.006802721,-176.500000
0.006916100,-2038.000000
0.007029478,1498.000000
0.007142857,-752.500000
0.007256236,-1788.000000
0.007369615,1992.000000
0.007482993,-481.000000
0.007596372,-1301.500000
0.007709751,2047.500000
0.007823129,-931.500000
0.007936508,-1170.000000
0.008049887,2369.000000
0.008163265,-772.500000
0.008276644,-742.500000
0.008390023,2111.500000
0.008503401,-1417.500000
0.008616780,-776.500000
0.008730159,2103.000000
0.008843537,-1399.000000
0.008956916,-452.500000
0.009070295,1849.500000
0.009183673,-1807.500000
0.009297052,-119.500000
0.009410431,2070.000000
0.009523810,-1567.000000
0.009637188,297.000000
0.009750567,1745.500000
0.009863946,-1970.500000
0.009977324,396.000000
0.010090703,1621.000000
0.010204082,-1718.500000
0.010317460,811.000000
0.010430839,1338.000000
0.010544218,-2142.500000
0.010657596,647.000000
0.010770975,896.500000
0.010884354,-1957.500000
0.010997732,1060.000000
0.011111111,961.000000
0.011224490,-1918.500000
0.011337868,1272.500000
0.011451247,643.000000
0.011564626,-1757.000000
0.011678005,1862.000000
0.011791383,578.500000
0.011904762,-1443.500000
0.012018141,1598.500000
0.012131519,-21.500000
0.012244898,-1603.500000
0.012358277,1648.500000
0.012471655,-123.000000
0.012585034,-1332.500000
0.012698413,1854.000000
0.012811791,-444.500000
0.012925170,-1205.500000
0.013038549,1717.500000
0.013151927,-801.000000
0.013265306,-1166.500000
0.013378685,1659.000000
0.013492063,-889.000000
0.013605442,-763.000000
0.013718821,1968.000000
0.013832200,-800.500000
0.013945578,-362.500000
0.014058957,2067.000000
0.014172336,-1110.000000
0.014285714,-320.500000
0.014399093,1822.500000
0.014512472,-1566.000000
0.014625850,-225.500000
0.014739229,1341.500000
0.014852608,-1733.000000
0.014965986,-220.000000
0.015079365,1179.000000
0.015192744,-2028.000000
0.015306122,-145.500000
0.015419501,833.000000
0.015532880,-1814.000000
0.015646259,431.000000
0.015759637,876.000000
0.015873016,-1746.500000
0.015986395,475.000000
0.016099773,817.500000
0.016213152,-1394.000000
0.016326531,1250.500000
0.016439909,1113.000000
0.016553288,-1273.500000
0.016666667,948.500000
0.016780045,148.500000
0.016893424,-1825.500000
0.017006803,1121.500000
0.017120181,277.500000
0.017233560,-1467.000000
0.017346939,1080.000000
0.017460317,-101.500000
0.017573696,-1494.000000
0.017687075,1222.000000
0.017800454,-271.000000
0.017913832,-1268.500000
0.018027211,1394.500000
0.018140590,-374.000000
0.018253968,-934.000000
0.018367347,1651.500000
0.018480726,-314.000000
0.018594104,-463.000000
0.018707483,1854.000000
0.018820862,-471.500000
0.018934240,-331.000000
0.019047619,1780.500000
0.019160998,-607.000000
0.019274376,-226.000000
0.019387755,1618.000000
0.019501134,-1118.000000
0.019614512,-493.000000
0.019727891,1348.500000
0.019841270,-1162.000000
0.019954649,143.000000
0.020068027,1312.000000
0.020181406,-1323.500000
0.020294785,-228.500000
0.020408163,819.000000
0.020521542,-1271.000000
0.020634921,525.000000
0.020748299,1425.000000
0.020861678,-1056.000000
0.020975057,573.500000
0.021088435,790.000000
0.021201814,-1231.500000
0.021315193,923.500000
0.021428571,1085.000000
0.021541950,-1025.000000
0.021655329,720.000000
0.021768707,388.500000
0.021882086,-1463.000000
0.021995465,703.000000
0.022108844,153.000000
0.022222222,-1597.000000
0.022335601,517.500000
0.022448980,-393.000000
0.022562358,-1296.000000
0.022675737,1009.500000
0.022789116,-79.500000
0.022902494,-1170.500000
0.023015873,850.000000
0.023129252,-649.500000
0.023242630,-1148.000000
0.023356009,919.500000
0.023469388,-454.000000
0.023582766,-578.000000
0.023696145,1256.000000
0.023809524,-805.000000
0.023922902,-761.000000
0.024036281,967.000000
0.024149660,-715.000000
0.024263039,-375.000000
0.024376417,1163.500000
0.024489796,-958.500000
0.024603175,-422.000000
0.024716553,743.000000
0.024829932,-1065.500000
0.024943311,-37.500000
0.025056689,1051.000000
0.025170068,-965.000000
0.025283447,154.500000
0.025396825,826.000000
0.025510204,-1024.000000
0.025623583,307.500000
0.025736961,1132.000000
0.025850340,-829.500000
0.025963719,627.000000
0.026077098,854.000000
0.026190476,-839.000000
0.026303855,716.000000
0.026417234,890.000000
0.026530612,-833.000000
0.026643991,717.500000
0.026757370,406.000000
0.026870748,-1074.500000
0.026984127,788.000000
0.027097506,386.000000
0.027210884,-809.500000
0.027324263,999.000000
0.027437642,163.000000
0.027551020,-935.000000
0.027664399,1096.000000
0.027777778,-115.000000
0.027891156,-773.500000
0.028004535,988.500000
0.028117914,-387.500000
0.028231293,-626.500000
0.028344671,925.000000
0.028458050,-396.500000
0.028571429,-707.500000
0.028684807,940.000000
0.028798186,-496.500000
0.028911565,-310.500000
0.029024943,981.000000
0.029138322,-713.500000
0.029251701,-514.000000
0.029365079,679.000000
0.029478458,-870.000000
0.029591837,-60.500000
0.029705215,991.000000
0.029818594,-737.000000
0.029931973,-145.500000
0.030045351,413.500000
0.030158730,-1333.000000
0.030272109,45.500000
0.030385488,600.500000
0.030498866,-1009.000000
0.030612245,112.000000
0.030725624,403.500000
0.030839002,-1215.000000
0.030952381,279.000000
0.031065760,338.500000
0.031179138,-1042.500000
0.031292517,480.500000
0.031405896,333.500000
0.031519274,-1118.000000
0.031632653,617.000000
0.031746032,125.000000
0.031859410,-845.000000
0.031972789,736.000000
0.032086168,-42.500000
0.032199546,-896.500000
0.032312925,774.500000
0.032426304,-49.000000
0.032539683,-695.000000
