rank,frequency_hz,magnitude_db
1,3000.000,-19.171
2,3011.750,-51.650
3,2988.250,-54.844
4,3001.625,-59.979
5,3003.375,-61.338
6,2976.625,-61.642
7,180.000,-61.782
8,2993.375,-62.575
9,54.375,-62.784
10,3006.750,-64.543
