rank,frequency_hz,magnitude_db
1,15.500,-16.965
2,1.875,-24.818
3,3.875,-25.114
4,7.750,-25.298
5,11.625,-29.258
6,4.625,-33.668
7,5.750,-33.929
8,7.250,-34.666
9,9.625,-34.765
10,9.000,-35.483
