label,7_u1_160_p
time_s,envelope_detrended
0.000000000,-0.586098
0.000113379,-0.586184
0.000226757,-0.586216
0.000340136,-0.586195
0.000453515,-0.586118
0.000566893,-0.585990
0.000680272,-0.585809
0.000793651,-0.585573
0.000907029,-0.585286
0.001020408,-0.584946
0.001133787,-0.584555
0.001247166,-0.584111
0.001360544,-0.583618
0.001473923,-0.583072
0.001587302,-0.582475
0.001700680,-0.581828
0.001814059,-0.581130
0.001927438,-0.580383
0.002040816,-0.579587
0.002154195,-0.578741
0.002267574,-0.577848
0.002380952,-0.576905
0.002494331,-0.575913
0.002607710,-0.574875
0.002721088,-0.573789
0.002834467,-0.572656
0.002947846,-0.571477
0.003061224,-0.570252
0.003174603,-0.568983
0.003287982,-0.567666
0.003401361,-0.566306
0.003514739,-0.564903
0.003628118,-0.563454
0.003741497,-0.561963
0.003854875,-0.560429
0.003968254,-0.558852
0.004081633,-0.557234
0.004195011,-0.555575
0.004308390,-0.553876
0.004421769,-0.552134
0.004535147,-0.550356
0.004648526,-0.548537
0.004761905,-0.546679
0.004875283,-0.544782
0.004988662,-0.542849
0.005102041,-0.540878
0.005215420,-0.538870
0.005328798,-0.536825
0.005442177,-0.534747
0.005555556,-0.532632
0.005668934,-0.530481
0.005782313,-0.528299
0.005895692,-0.526082
0.006009070,-0.523830
0.006122449,-0.521548
0.006235828,-0.519231
0.006349206,-0.516883
0.006462585,-0.514505
0.006575964,-0.512096
0.006689342,-0.509656
0.006802721,-0.507188
0.006916100,-0.504688
0.007029478,-0.502161
0.007142857,-0.499606
0.007256236,-0.497022
0.007369615,-0.494411
0.007482993,-0.491774
0.007596372,-0.489109
0.007709751,-0.486419
0.007823129,-0.483704
0.007936508,-0.480963
0.008049887,-0.478198
0.008163265,-0.475410
0.008276644,-0.472598
0.008390023,-0.469763
0.008503401,-0.466904
0.008616780,-0.464025
0.008730159,-0.461123
0.008843537,-0.458201
0.008956916,-0.455257
0.009070295,-0.452293
0.009183673,-0.449310
0.009297052,-0.446308
0.009410431,-0.443287
0.009523810,-0.440248
0.009637188,-0.437191
0.009750567,-0.434116
0.009863946,-0.431026
0.009977324,-0.427918
0.010090703,-0.424794
0.010204082,-0.421654
0.010317460,-0.418500
0.010430839,-0.415331
0.010544218,-0.412149
0.010657596,-0.408951
0.010770975,-0.405741
0.010884354,-0.402518
0.010997732,-0.399281
0.011111111,-0.396034
0.011224490,-0.392774
0.011337868,-0.389502
0.011451247,-0.386220
0.011564626,-0.382928
0.011678005,-0.379625
0.011791383,-0.376312
0.011904762,-0.372991
0.012018141,-0.369659
0.012131519,-0.366320
0.012244898,-0.362972
0.012358277,-0.359617
0.012471655,-0.356253
0.012585034,-0.352884
0.012698413,-0.349508
0.012811791,-0.346125
0.012925170,-0.342737
0.013038549,-0.339343
0.013151927,-0.335944
0.013265306,-0.332540
0.013378685,-0.329132
0.013492063,-0.325719
0.013605442,-0.322304
0.013718821,-0.318886
0.013832200,-0.315464
0.013945578,-0.312040
0.014058957,-0.308615
0.014172336,-0.305187
0.014285714,-0.301758
0.014399093,-0.298329
0.014512472,-0.294900
0.014625850,-0.291471
0.014739229,-0.288041
0.014852608,-0.284613
0.014965986,-0.281186
0.015079365,-0.277759
0.015192744,-0.274335
0.015306122,-0.270913
0.015419501,-0.267493
0.015532880,-0.264076
0.015646259,-0.260661
0.015759637,-0.257250
0.015873016,-0.253844
0.015986395,-0.250439
0.016099773,-0.247040
0.016213152,-0.243645
0.016326531,-0.240253
0.016439909,-0.236866
0.016553288,-0.233484
0.016666667,-0.230110
0.016780045,-0.226739
0.016893424,-0.223373
0.017006803,-0.220015
0.017120181,-0.216661
0.017233560,-0.213315
0.017346939,-0.209974
0.017460317,-0.206642
0.017573696,-0.203315
0.017687075,-0.199995
0.017800454,-0.196683
0.017913832,-0.193379
0.018027211,-0.190082
0.018140590,-0.186792
0.018253968,-0.183511
0.018367347,-0.180237
0.018480726,-0.176972
0.018594104,-0.173715
0.018707483,-0.170468
0.018820862,-0.167231
0.018934240,-0.164001
0.019047619,-0.160779
0.019160998,-0.157569
