time_s,envelope_detrended
0.028231293,0.226282
0.028344671,0.227124
0.028458050,0.227964
0.028571429,0.228801
0.028684807,0.229635
0.028798186,0.230467
0.028911565,0.231296
0.029024943,0.232122
0.029138322,0.232945
0.029251701,0.233765
0.029365079,0.234582
0.029478458,0.235396
0.029591837,0.236207
0.029705215,0.237014
0.029818594,0.237818
0.029931973,0.238619
0.030045351,0.239416
0.030158730,0.240209
0.030272109,0.240999
0.030385488,0.241785
0.030498866,0.242568
0.030612245,0.243346
0.030725624,0.244120
0.030839002,0.244891
0.030952381,0.245657
0.031065760,0.246419
0.031179138,0.247177
0.031292517,0.247930
0.031405896,0.248679
0.031519274,0.249423
0.031632653,0.250163
0.031746032,0.250898
0.031859410,0.251629
0.031972789,0.252354
0.032086168,0.253074
0.032199546,0.253790
0.032312925,0.254500
0.032426304,0.255205
0.032539683,0.255905
0.032653061,0.256600
0.032766440,0.257289
0.032879819,0.257973
0.032993197,0.258651
0.033106576,0.259323
0.033219955,0.259990
0.033333333,0.260651
0.033446712,0.261306
0.033560091,0.261955
0.033673469,0.262598
0.033786848,0.263235
0.033900227,0.263865
0.034013605,0.264489
0.034126984,0.265107
0.034240363,0.265719
0.034353741,0.266323
0.034467120,0.266922
0.034580499,0.267513
0.034693878,0.268098
0.034807256,0.268675
0.034920635,0.269246
0.035034014,0.269810
0.035147392,0.270366
0.035260771,0.270916
0.035374150,0.271458
0.035487528,0.271992
0.035600907,0.272519
0.035714286,0.273039
0.035827664,0.273550
0.035941043,0.274054
0.036054422,0.274551
0.036167800,0.275039
0.036281179,0.275519
0.036394558,0.275991
0.036507937,0.276455
0.036621315,0.276911
0.036734694,0.277358
0.036848073,0.277797
0.036961451,0.278227
0.037074830,0.278648
0.037188209,0.279061
0.037301587,0.279465
0.037414966,0.279860
0.037528345,0.280246
0.037641723,0.280622
0.037755102,0.280990
0.037868481,0.281348
0.037981859,0.281697
0.038095238,0.282037
0.038208617,0.282367
0.038321995,0.282688
0.038435374,0.282999
0.038548753,0.283300
0.038662132,0.283592
0.038775510,0.283873
0.038888889,0.284145
0.039002268,0.284407
0.039115646,0.284659
0.039229025,0.284901
0.039342404,0.285133
0.039455782,0.285355
0.039569161,0.285566
0.039682540,0.285768
0.039795918,0.285959
0.039909297,0.286139
0.040022676,0.286309
0.040136054,0.286469
0.040249433,0.286618
0.040362812,0.286756
0.040476190,0.286884
0.040589569,0.287000
0.040702948,0.287107
0.040816327,0.287202
0.040929705,0.287287
0.041043084,0.287360
0.041156463,0.287423
0.041269841,0.287474
0.041383220,0.287515
0.041496599,0.287544
0.041609977,0.287563
0.041723356,0.287570
0.041836735,0.287565
0.041950113,0.287550
0.042063492,0.287523
0.042176871,0.287485
0.042290249,0.287435
0.042403628,0.287374
0.042517007,0.287301
0.042630385,0.287216
0.042743764,0.287120
0.042857143,0.287013
0.042970522,0.286894
0.043083900,0.286763
0.043197279,0.286620
0.043310658,0.286466
0.043424036,0.286299
0.043537415,0.286121
0.043650794,0.285932
0.043764172,0.285730
0.043877551,0.285517
0.043990930,0.285291
0.044104308,0.285054
0.044217687,0.284805
0.044331066,0.284544
0.044444444,0.284271
0.044557823,0.283987
0.044671202,0.283690
0.044784580,0.283381
0.044897959,0.283060
0.045011338,0.282728
0.045124717,0.282383
0.045238095,0.282026
0.045351474,0.281658
0.045464853,0.281277
0.045578231,0.280884
0.045691610,0.280479
0.045804989,0.280063
0.045918367,0.279634
0.046031746,0.279193
0.046145125,0.278740
0.046258503,0.278275
0.046371882,0.277797
0.046485261,0.277308
0.046598639,0.276807
0.046712018,0.276293
0.046825397,0.275768
0.046938776,0.275230
0.047052154,0.274680
0.047165533,0.274117
0.047278912,0.273543
0.047392290,0.272957
0.047505669,0.272358
0.047619048,0.271747
0.047732426,0.271124
0.047845805,0.270488
0.047959184,0.269841
0.048072562,0.269181
0.048185941,0.268509
0.048299320,0.267825
0.048412698,0.267128
0.048526077,0.266420
0.048639456,0.265699
0.048752834,0.264966
0.048866213,0.264220
0.048979592,0.263463
0.049092971,0.262693
0.049206349,0.261911
0.049319728,0.261117
0.049433107,0.260310
0.049546485,0.259492
0.049659864,0.258661
0.049773243,0.257818
0.049886621,0.256962
0.050000000,0.256095
0.050113379,0.255215
0.050226757,0.254323
0.050340136,0.253418
0.050453515,0.252502
0.050566893,0.251573
0.050680272,0.250632
0.050793651,0.249679
0.050907029,0.248714
0.051020408,0.247736
0.051133787,0.246746
0.051247166,0.245745
0.051360544,0.244731
0.051473923,0.243705
0.051587302,0.242666
0.051700680,0.241616
0.051814059,0.240554
0.051927438,0.239479
0.052040816,0.238393
0.052154195,0.237294
0.052267574,0.236183
0.052380952,0.235060
0.052494331,0.233926
0.052607710,0.232779
0.052721088,0.231620
0.052834467,0.230449
0.052947846,0.229266
0.053061224,0.228071
0.053174603,0.226864
0.053287982,0.225645
0.053401361,0.224415
0.053514739,0.223172
0.053628118,0.221918
0.053741497,0.220651
0.053854875,0.219373
0.053968254,0.218083
0.054081633,0.216781
0.054195011,0.215468
0.054308390,0.214142
0.054421769,0.212805
0.054535147,0.211457
0.054648526,0.210097
0.054761905,0.208725
0.054875283,0.207341
0.054988662,0.205946
0.055102041,0.204540
0.055215420,0.203122
0.055328798,0.201693
0.055442177,0.200252
0.055555556,0.198800
0.055668934,0.197337
0.055782313,0.195863
0.055895692,0.194377
0.056009070,0.192881
0.056122449,0.191373
0.056235828,0.189854
0.056349206,0.188325
0.056462585,0.186784
0.056575964,0.185233
0.056689342,0.183671
0.056802721,0.182098
0.056916100,0.180514
0.057029478,0.178920
0.057142857,0.177315
0.057256236,0.175700
0.057369615,0.174074
0.057482993,0.172437
0.057596372,0.170791
0.057709751,0.169133
0.057823129,0.167466
0.057936508,0.165788
0.058049887,0.164100
0.058163265,0.162402
0.058276644,0.160694
0.058390023,0.158975
0.058503401,0.157247
0.058616780,0.155509
0.058730159,0.153761
0.058843537,0.152004
0.058956916,0.150236
0.059070295,0.148459
0.059183673,0.146673
0.059297052,0.144877
0.059410431,0.143071
0.059523810,0.141257
0.059637188,0.139433
0.059750567,0.137599
0.059863946,0.135757
0.059977324,0.133906
0.060090703,0.132046
0.060204082,0.130177
0.060317460,0.128299
0.060430839,0.126413
0.060544218,0.124519
0.060657596,0.122615
0.060770975,0.120704
0.060884354,0.118784
0.060997732,0.116856
0.061111111,0.114920
0.061224490,0.112977
0.061337868,0.111025
0.061451247,0.109065
0.061564626,0.107098
0.061678005,0.105124
