time_s,trend
0.028684807,0.611851
0.028798186,0.611880
0.028911565,0.611910
0.029024943,0.611940
0.029138322,0.611969
0.029251701,0.611999
0.029365079,0.612029
0.029478458,0.612058
0.029591837,0.612088
0.029705215,0.612118
0.029818594,0.612147
0.029931973,0.612177
0.030045351,0.612206
0.030158730,0.612236
0.030272109,0.612266
0.030385488,0.612295
0.030498866,0.612325
0.030612245,0.612354
0.030725624,0.612384
0.030839002,0.612413
0.030952381,0.612443
0.031065760,0.612472
0.031179138,0.612502
0.031292517,0.612531
0.031405896,0.612561
0.031519274,0.612590
0.031632653,0.612620
0.031746032,0.612649
0.031859410,0.612679
0.031972789,0.612708
0.032086168,0.612738
0.032199546,0.612767
0.032312925,0.612797
0.032426304,0.612826
0.032539683,0.612855
0.032653061,0.612885
0.032766440,0.612914
0.032879819,0.612944
0.032993197,0.612973
0.033106576,0.613003
0.033219955,0.613032
0.033333333,0.613061
0.033446712,0.613091
0.033560091,0.613120
0.033673469,0.613149
0.033786848,0.613179
0.033900227,0.613208
0.034013605,0.613237
0.034126984,0.613267
0.034240363,0.613296
0.034353741,0.613325
0.034467120,0.613355
0.034580499,0.613384
0.034693878,0.613413
0.034807256,0.613442
0.034920635,0.613472
0.035034014,0.613501
0.035147392,0.613530
0.035260771,0.613559
0.035374150,0.613589
0.035487528,0.613618
0.035600907,0.613647
0.035714286,0.613676
0.035827664,0.613705
0.035941043,0.613735
0.036054422,0.613764
0.036167800,0.613793
0.036281179,0.613822
0.036394558,0.613851
0.036507937,0.613880
0.036621315,0.613909
0.036734694,0.613939
0.036848073,0.613968
0.036961451,0.613997
0.037074830,0.614026
0.037188209,0.614055
0.037301587,0.614084
0.037414966,0.614113
0.037528345,0.614142
0.037641723,0.614171
0.037755102,0.614200
0.037868481,0.614229
0.037981859,0.614258
0.038095238,0.614287
0.038208617,0.614316
0.038321995,0.614345
0.038435374,0.614374
0.038548753,0.614403
0.038662132,0.614432
0.038775510,0.614461
0.038888889,0.614490
0.039002268,0.614519
0.039115646,0.614548
0.039229025,0.614577
0.039342404,0.614606
0.039455782,0.614635
0.039569161,0.614664
0.039682540,0.614693
0.039795918,0.614722
0.039909297,0.614751
0.040022676,0.614780
0.040136054,0.614808
0.040249433,0.614837
0.040362812,0.614866
0.040476190,0.614895
0.040589569,0.614924
0.040702948,0.614953
0.040816327,0.614981
0.040929705,0.615010
0.041043084,0.615039
0.041156463,0.615068
0.041269841,0.615097
0.041383220,0.615125
0.041496599,0.615154
0.041609977,0.615183
0.041723356,0.615212
0.041836735,0.615240
0.041950113,0.615269
0.042063492,0.615298
0.042176871,0.615327
0.042290249,0.615355
0.042403628,0.615384
0.042517007,0.615413
0.042630385,0.615442
0.042743764,0.615470
0.042857143,0.615499
0.042970522,0.615528
0.043083900,0.615556
0.043197279,0.615585
0.043310658,0.615613
0.043424036,0.615642
0.043537415,0.615671
0.043650794,0.615699
0.043764172,0.615728
0.043877551,0.615756
0.043990930,0.615785
0.044104308,0.615814
0.044217687,0.615842
0.044331066,0.615871
0.044444444,0.615899
0.044557823,0.615928
0.044671202,0.615956
0.044784580,0.615985
0.044897959,0.616013
0.045011338,0.616042
0.045124717,0.616070
0.045238095,0.616099
0.045351474,0.616127
0.045464853,0.616156
0.045578231,0.616184
0.045691610,0.616213
0.045804989,0.616241
0.045918367,0.616270
0.046031746,0.616298
0.046145125,0.616327
0.046258503,0.616355
0.046371882,0.616383
0.046485261,0.616412
0.046598639,0.616440
0.046712018,0.616468
0.046825397,0.616497
0.046938776,0.616525
0.047052154,0.616554
0.047165533,0.616582
0.047278912,0.616610
0.047392290,0.616639
0.047505669,0.616667
0.047619048,0.616695
0.047732426,0.616723
0.047845805,0.616752
0.047959184,0.616780
0.048072562,0.616808
0.048185941,0.616837
0.048299320,0.616865
0.048412698,0.616893
0.048526077,0.616921
0.048639456,0.616950
0.048752834,0.616978
0.048866213,0.617006
0.048979592,0.617034
0.049092971,0.617062
0.049206349,0.617091
0.049319728,0.617119
0.049433107,0.617147
0.049546485,0.617175
0.049659864,0.617203
0.049773243,0.617231
0.049886621,0.617260
0.050000000,0.617288
0.050113379,0.617316
0.050226757,0.617344
0.050340136,0.617372
0.050453515,0.617400
0.050566893,0.617428
0.050680272,0.617456
0.050793651,0.617484
0.050907029,0.617512
0.051020408,0.617540
0.051133787,0.617568
0.051247166,0.617596
0.051360544,0.617624
0.051473923,0.617652
0.051587302,0.617680
0.051700680,0.617708
0.051814059,0.617736
0.051927438,0.617764
0.052040816,0.617792
0.052154195,0.617820
0.052267574,0.617848
0.052380952,0.617876
0.052494331,0.617904
0.052607710,0.617932
0.052721088,0.617960
0.052834467,0.617988
0.052947846,0.618016
0.053061224,0.618044
0.053174603,0.618072
0.053287982,0.618100
0.053401361,0.618127
0.053514739,0.618155
0.053628118,0.618183
0.053741497,0.618211
0.053854875,0.618239
0.053968254,0.618267
0.054081633,0.618294
0.054195011,0.618322
0.054308390,0.618350
0.054421769,0.618378
0.054535147,0.618406
0.054648526,0.618433
0.054761905,0.618461
0.054875283,0.618489
0.054988662,0.618517
0.055102041,0.618544
0.055215420,0.618572
0.055328798,0.618600
0.055442177,0.618627
0.055555556,0.618655
0.055668934,0.618683
0.055782313,0.618711
0.055895692,0.618738
0.056009070,0.618766
0.056122449,0.618794
0.056235828,0.618821
0.056349206,0.618849
0.056462585,0.618877
0.056575964,0.618904
0.056689342,0.618932
0.056802721,0.618959
0.056916100,0.618987
0.057029478,0.619015
0.057142857,0.619042
0.057256236,0.619070
0.057369615,0.619097
0.057482993,0.619125
0.057596372,0.619152
0.057709751,0.619180
0.057823129,0.619208
0.057936508,0.619235
0.058049887,0.619263
0.058163265,0.619290
0.058276644,0.619318
0.058390023,0.619345
0.058503401,0.619373
0.058616780,0.619400
0.058730159,0.619427
0.058843537,0.619455
0.058956916,0.619482
0.059070295,0.619510
0.059183673,0.619537
0.059297052,0.619565
0.059410431,0.619592
0.059523810,0.619619
0.059637188,0.619647
0.059750567,0.619674
0.059863946,0.619702
0.059977324,0.619729
0.060090703,0.619756
0.060204082,0.619784
0.060317460,0.619811
0.060430839,0.619838
0.060544218,0.619866
0.060657596,0.619893
0.060770975,0.619920
0.060884354,0.619948
0.060997732,0.619975
0.061111111,0.620002
0.061224490,0.620030
0.061337868,0.620057
0.061451247,0.620084
0.061564626,0.620111
0.061678005,0.620139
0.061791383,0.620166
0.061904762,0.620193
0.062018141,0.620220
0.062131519,0.620248
0.062244898,0.620275
0.062358277,0.620302
0.062471655,0.620329
0.062585034,0.620356
0.062698413,0.620384
0.062811791,0.620411
0.062925170,0.620438
0.063038549,0.620465
0.063151927,0.620492
0.063265306,0.620519
0.063378685,0.620546
0.063492063,0.620573
0.063605442,0.620601
0.063718821,0.620628
0.063832200,0.620655
0.063945578,0.620682
0.064058957,0.620709
0.064172336,0.620736
0.064285714,0.620763
0.064399093,0.620790
0.064512472,0.620817
0.064625850,0.620844
0.064739229,0.620871
0.064852608,0.620898
0.064965986,0.620925
0.065079365,0.620952
0.065192744,0.620979
0.065306122,0.621006
0.065419501,0.621033
0.065532880,0.621060
0.065646259,0.621087
0.065759637,0.621114
0.065873016,0.621141
0.065986395,0.621168
0.066099773,0.621195
0.066213152,0.621222
0.066326531,0.621249
0.066439909,0.621276
0.066553288,0.621303
0.066666667,0.621330
0.066780045,0.621356
0.066893424,0.621383
0.067006803,0.621410
0.067120181,0.621437
0.067233560,0.621464
0.067346939,0.621491
0.067460317,0.621517
0.067573696,0.621544
0.067687075,0.621571
0.067800454,0.621598
0.067913832,0.621625
0.068027211,0.621652
0.068140590,0.621678
0.068253968,0.621705
0.068367347,0.621732
0.068480726,0.621759
0.068594104,0.621785
0.068707483,0.621812
0.068820862,0.621839
0.068934240,0.621866
0.069047619,0.621892
0.069160998,0.621919
0.069274376,0.621946
0.069387755,0.621973
0.069501134,0.621999
0.069614512,0.622026
0.069727891,0.622053
0.069841270,0.622079
0.069954649,0.622106
0.070068027,0.622133
0.070181406,0.622159
0.070294785,0.622186
0.070408163,0.622212
0.070521542,0.622239
0.070634921,0.622266
0.070748299,0.622292
0.070861678,0.622319
0.070975057,0.622345
0.071088435,0.622372
0.071201814,0.622399
0.071315193,0.622425
0.071428571,0.622452
0.071541950,0.622478
0.071655329,0.622505
0.071768707,0.622531
0.071882086,0.622558
0.071995465,0.622584
0.072108844,0.622611
0.072222222,0.622638
0.072335601,0.622664
