time_s,envelope
0.032879819,0.870917
0.032993197,0.871624
0.033106576,0.872326
0.033219955,0.873022
0.033333333,0.873712
0.033446712,0.874397
0.033560091,0.875075
0.033673469,0.875747
0.033786848,0.876413
0.033900227,0.877073
0.034013605,0.877727
0.034126984,0.878374
0.034240363,0.879015
0.034353741,0.879649
0.034467120,0.880276
0.034580499,0.880897
0.034693878,0.881511
0.034807256,0.882118
0.034920635,0.882718
0.035034014,0.883311
0.035147392,0.883896
0.035260771,0.884475
0.035374150,0.885046
0.035487528,0.885610
0.035600907,0.886166
0.035714286,0.886715
0.035827664,0.887256
0.035941043,0.887789
0.036054422,0.888314
0.036167800,0.888832
0.036281179,0.889341
0.036394558,0.889843
0.036507937,0.890336
0.036621315,0.890820
0.036734694,0.891297
0.036848073,0.891764
0.036961451,0.892224
0.037074830,0.892674
0.037188209,0.893116
0.037301587,0.893549
0.037414966,0.893973
0.037528345,0.894388
0.037641723,0.894794
0.037755102,0.895190
0.037868481,0.895578
0.037981859,0.895956
0.038095238,0.896324
0.038208617,0.896684
0.038321995,0.897033
0.038435374,0.897373
0.038548753,0.897703
0.038662132,0.898024
0.038775510,0.898335
0.038888889,0.898636
0.039002268,0.898927
0.039115646,0.899208
0.039229025,0.899479
0.039342404,0.899739
0.039455782,0.899990
0.039569161,0.900230
0.039682540,0.900461
0.039795918,0.900680
0.039909297,0.900890
0.040022676,0.901089
0.040136054,0.901277
0.040249433,0.901455
0.040362812,0.901622
0.040476190,0.901779
0.040589569,0.901924
0.040702948,0.902059
0.040816327,0.902184
0.040929705,0.902297
0.041043084,0.902399
0.041156463,0.902491
0.041269841,0.902571
0.041383220,0.902641
0.041496599,0.902699
0.041609977,0.902746
0.041723356,0.902782
0.041836735,0.902806
0.041950113,0.902819
0.042063492,0.902821
0.042176871,0.902811
0.042290249,0.902790
0.042403628,0.902758
0.042517007,0.902714
0.042630385,0.902658
0.042743764,0.902591
0.042857143,0.902512
0.042970522,0.902421
0.043083900,0.902319
0.043197279,0.902205
0.043310658,0.902079
0.043424036,0.901941
0.043537415,0.901792
0.043650794,0.901631
0.043764172,0.901458
0.043877551,0.901273
0.043990930,0.901076
0.044104308,0.900868
0.044217687,0.900647
0.044331066,0.900415
0.044444444,0.900171
0.044557823,0.899915
0.044671202,0.899646
0.044784580,0.899366
0.044897959,0.899074
0.045011338,0.898770
0.045124717,0.898453
0.045238095,0.898125
0.045351474,0.897785
0.045464853,0.897433
