rank,frequency_hz,magnitude_db
1,13.000,-15.920
2,1.625,-20.329
3,3.250,-25.649
4,6.500,-26.008
5,9.750,-31.682
6,9.000,-34.323
7,4.375,-35.214
8,10.625,-35.431
9,8.250,-35.492
10,4.125,-36.353
