label,5_u1_120_p
time_s,envelope_detrended
0.000000000,-0.375029
0.000113379,-0.373826
0.000226757,-0.372620
0.000340136,-0.371411
0.000453515,-0.370197
0.000566893,-0.368980
0.000680272,-0.367760
0.000793651,-0.366535
0.000907029,-0.365307
0.001020408,-0.364075
0.001133787,-0.362839
0.001247166,-0.361599
0.001360544,-0.360356
0.001473923,-0.359108
0.001587302,-0.357857
0.001700680,-0.356602
0.001814059,-0.355343
0.001927438,-0.354080
0.002040816,-0.352813
0.002154195,-0.351542
0.002267574,-0.350268
0.002380952,-0.348989
0.002494331,-0.347706
0.002607710,-0.346420
0.002721088,-0.345129
0.002834467,-0.343834
0.002947846,-0.342535
0.003061224,-0.341232
0.003174603,-0.339926
0.003287982,-0.338615
0.003401361,-0.337300
0.003514739,-0.335981
0.003628118,-0.334658
0.003741497,-0.333331
0.003854875,-0.332000
0.003968254,-0.330665
0.004081633,-0.329326
0.004195011,-0.327982
0.004308390,-0.326635
0.004421769,-0.325283
0.004535147,-0.323927
0.004648526,-0.322567
0.004761905,-0.321203
0.004875283,-0.319834
0.004988662,-0.318461
0.005102041,-0.317084
0.005215420,-0.315703
0.005328798,-0.314317
0.005442177,-0.312927
0.005555556,-0.311533
0.005668934,-0.310134
0.005782313,-0.308731
0.005895692,-0.307323
0.006009070,-0.305911
0.006122449,-0.304495
0.006235828,-0.303074
0.006349206,-0.301648
0.006462585,-0.300218
0.006575964,-0.298783
0.006689342,-0.297343
0.006802721,-0.295899
0.006916100,-0.294450
0.007029478,-0.292997
0.007142857,-0.291538
0.007256236,-0.290075
0.007369615,-0.288607
0.007482993,-0.287134
0.007596372,-0.285657
0.007709751,-0.284175
0.007823129,-0.282687
0.007936508,-0.281195
0.008049887,-0.279698
0.008163265,-0.278196
0.008276644,-0.276689
0.008390023,-0.275177
0.008503401,-0.273660
0.008616780,-0.272139
0.008730159,-0.270612
0.008843537,-0.269080
0.008956916,-0.267543
0.009070295,-0.266002
0.009183673,-0.264455
0.009297052,-0.262903
0.009410431,-0.261347
0.009523810,-0.259785
0.009637188,-0.258218
0.009750567,-0.256647
0.009863946,-0.255070
0.009977324,-0.253488
0.010090703,-0.251902
0.010204082,-0.250310
0.010317460,-0.248714
0.010430839,-0.247112
0.010544218,-0.245506
0.010657596,-0.243894
0.010770975,-0.242278
0.010884354,-0.240656
0.010997732,-0.239030
0.011111111,-0.237398
0.011224490,-0.235761
0.011337868,-0.234119
0.011451247,-0.232472
0.011564626,-0.230821
0.011678005,-0.229163
0.011791383,-0.227501
0.011904762,-0.225834
0.012018141,-0.224161
0.012131519,-0.222483
0.012244898,-0.220800
0.012358277,-0.219112
0.012471655,-0.217418
0.012585034,-0.215719
0.012698413,-0.214015
0.012811791,-0.212306
0.012925170,-0.210591
0.013038549,-0.208870
0.013151927,-0.207145
0.013265306,-0.205414
0.013378685,-0.203677
0.013492063,-0.201935
0.013605442,-0.200188
0.013718821,-0.198436
0.013832200,-0.196677
0.013945578,-0.194913
0.014058957,-0.193144
0.014172336,-0.191370
0.014285714,-0.189590
0.014399093,-0.187804
0.014512472,-0.186013
0.014625850,-0.184216
0.014739229,-0.182414
0.014852608,-0.180607
0.014965986,-0.178793
0.015079365,-0.176975
0.015192744,-0.175150
0.015306122,-0.173321
0.015419501,-0.171485
0.015532880,-0.169644
0.015646259,-0.167797
0.015759637,-0.165945
0.015873016,-0.164087
0.015986395,-0.162223
0.016099773,-0.160354
0.016213152,-0.158478
0.016326531,-0.156597
0.016439909,-0.154710
0.016553288,-0.152818
0.016666667,-0.150919
0.016780045,-0.149015
0.016893424,-0.147105
0.017006803,-0.145189
0.017120181,-0.143267
0.017233560,-0.141339
0.017346939,-0.139405
0.017460317,-0.137465
0.017573696,-0.135519
0.017687075,-0.133567
0.017800454,-0.131609
0.017913832,-0.129645
0.018027211,-0.127675
0.018140590,-0.125698
0.018253968,-0.123716
0.018367347,-0.121727
0.018480726,-0.119733
0.018594104,-0.117731
0.018707483,-0.115724
0.018820862,-0.113711
0.018934240,-0.111691
0.019047619,-0.109665
0.019160998,-0.107633
0.019274376,-0.105594
0.019387755,-0.103550
0.019501134,-0.101499
0.019614512,-0.099441
0.019727891,-0.097378
0.019841270,-0.095308
0.019954649,-0.093232
0.020068027,-0.091150
0.020181406,-0.089061
0.020294785,-0.086967
0.020408163,-0.084865
0.020521542,-0.082758
0.020634921,-0.080643
0.020748299,-0.078523
0.020861678,-0.076397
0.020975057,-0.074264
0.021088435,-0.072125
0.021201814,-0.069979
0.021315193,-0.067827
0.021428571,-0.065669
0.021541950,-0.063504
0.021655329,-0.061333
0.021768707,-0.059156
0.021882086,-0.056972
0.021995465,-0.054782
0.022108844,-0.052586
0.022222222,-0.050382
0.022335601,-0.048173
0.022448980,-0.045957
0.022562358,-0.043734
0.022675737,-0.041505
0.022789116,-0.039270
0.022902494,-0.037028
0.023015873,-0.034780
0.023129252,-0.032525
0.023242630,-0.030263
0.023356009,-0.027995
0.023469388,-0.025721
0.023582766,-0.023440
0.023696145,-0.021152
0.023809524,-0.018858
0.023922902,-0.016557
0.024036281,-0.014249
0.024149660,-0.011935
0.024263039,-0.009615
0.024376417,-0.007288
0.024489796,-0.004954
0.024603175,-0.002614
0.024716553,-0.000268
0.024829932,0.002085
0.024943311,0.004445
0.025056689,0.006810
0.025170068,0.009182
0.025283447,0.011561
0.025396825,0.013946
0.025510204,0.016337
0.025623583,0.018733
0.025736961,0.021137
0.025850340,0.023546
0.025963719,0.025962
0.026077098,0.028383
0.026190476,0.030810
0.026303855,0.033245
0.026417234,0.035684
0.026530612,0.038129
0.026643991,0.040580
0.026757370,0.043037
0.026870748,0.045500
0.026984127,0.047968
0.027097506,0.050442
0.027210884,0.052921
0.027324263,0.055407
0.027437642,0.057897
0.027551020,0.060394
0.027664399,0.062896
0.027777778,0.065402
0.027891156,0.067915
0.028004535,0.070433
0.028117914,0.072957
0.028231293,0.075485
0.028344671,0.078019
0.028458050,0.080558
0.028571429,0.083103
0.028684807,0.085652
0.028798186,0.088207
0.028911565,0.090767
0.029024943,0.093332
0.029138322,0.095902
0.029251701,0.098477
0.029365079,0.101056
0.029478458,0.103641
0.029591837,0.106230
0.029705215,0.108823
0.029818594,0.111422
0.029931973,0.114025
0.030045351,0.116633
0.030158730,0.119245
0.030272109,0.121861
0.030385488,0.124482
0.030498866,0.127106
0.030612245,0.129736
0.030725624,0.132369
0.030839002,0.135005
0.030952381,0.137646
0.031065760,0.140290
0.031179138,0.142939
0.031292517,0.145590
0.031405896,0.148245
0.031519274,0.150904
0.031632653,0.153566
0.031746032,0.156232
0.031859410,0.158900
0.031972789,0.161571
0.032086168,0.164246
0.032199546,0.166924
0.032312925,0.169604
0.032426304,0.172287
0.032539683,0.174973
0.032653061,0.177661
