label,4_u1_200_p(1)
time_s,envelope_detrended
0.000000000,-0.356913
0.000113379,-0.355388
0.000226757,-0.353846
0.000340136,-0.352286
0.000453515,-0.350709
0.000566893,-0.349115
0.000680272,-0.347504
0.000793651,-0.345876
0.000907029,-0.344232
0.001020408,-0.342572
0.001133787,-0.340896
0.001247166,-0.339204
0.001360544,-0.337496
0.001473923,-0.335773
0.001587302,-0.334035
0.001700680,-0.332282
0.001814059,-0.330515
0.001927438,-0.328733
0.002040816,-0.326936
0.002154195,-0.325125
0.002267574,-0.323301
0.002380952,-0.321463
0.002494331,-0.319611
0.002607710,-0.317746
0.002721088,-0.315868
0.002834467,-0.313977
0.002947846,-0.312074
0.003061224,-0.310158
0.003174603,-0.308231
0.003287982,-0.306291
0.003401361,-0.304339
0.003514739,-0.302376
0.003628118,-0.300402
0.003741497,-0.298416
0.003854875,-0.296420
0.003968254,-0.294413
0.004081633,-0.292395
0.004195011,-0.290367
0.004308390,-0.288330
0.004421769,-0.286282
0.004535147,-0.284224
0.004648526,-0.282158
0.004761905,-0.280082
0.004875283,-0.277997
0.004988662,-0.275903
0.005102041,-0.273800
0.005215420,-0.271690
0.005328798,-0.269571
0.005442177,-0.267444
0.005555556,-0.265309
0.005668934,-0.263167
0.005782313,-0.261017
0.005895692,-0.258861
0.006009070,-0.256697
0.006122449,-0.254527
0.006235828,-0.252350
0.006349206,-0.250167
0.006462585,-0.247978
0.006575964,-0.245783
0.006689342,-0.243582
0.006802721,-0.241376
0.006916100,-0.239165
0.007029478,-0.236948
0.007142857,-0.234727
0.007256236,-0.232501
0.007369615,-0.230270
0.007482993,-0.228035
0.007596372,-0.225796
0.007709751,-0.223554
0.007823129,-0.221307
0.007936508,-0.219057
0.008049887,-0.216804
0.008163265,-0.214547
0.008276644,-0.212287
0.008390023,-0.210025
0.008503401,-0.207760
0.008616780,-0.205493
0.008730159,-0.203223
0.008843537,-0.200952
0.008956916,-0.198678
0.009070295,-0.196403
0.009183673,-0.194127
0.009297052,-0.191849
0.009410431,-0.189570
0.009523810,-0.187289
0.009637188,-0.185009
0.009750567,-0.182727
0.009863946,-0.180445
0.009977324,-0.178163
0.010090703,-0.175880
0.010204082,-0.173598
0.010317460,-0.171316
0.010430839,-0.169034
0.010544218,-0.166753
0.010657596,-0.164472
0.010770975,-0.162193
0.010884354,-0.159914
0.010997732,-0.157637
0.011111111,-0.155361
0.011224490,-0.153087
0.011337868,-0.150814
0.011451247,-0.148544
0.011564626,-0.146275
0.011678005,-0.144009
0.011791383,-0.141744
0.011904762,-0.139482
0.012018141,-0.137223
0.012131519,-0.134967
0.012244898,-0.132713
0.012358277,-0.130463
0.012471655,-0.128215
0.012585034,-0.125971
0.012698413,-0.123731
0.012811791,-0.121494
0.012925170,-0.119260
0.013038549,-0.117031
0.013151927,-0.114805
0.013265306,-0.112584
0.013378685,-0.110367
0.013492063,-0.108154
0.013605442,-0.105945
0.013718821,-0.103742
0.013832200,-0.101543
0.013945578,-0.099349
0.014058957,-0.097159
0.014172336,-0.094976
0.014285714,-0.092797
0.014399093,-0.090623
0.014512472,-0.088455
0.014625850,-0.086292
0.014739229,-0.084135
0.014852608,-0.081984
0.014965986,-0.079839
0.015079365,-0.077699
0.015192744,-0.075566
0.015306122,-0.073438
0.015419501,-0.071317
0.015532880,-0.069202
0.015646259,-0.067094
0.015759637,-0.064992
0.015873016,-0.062897
0.015986395,-0.060808
0.016099773,-0.058726
0.016213152,-0.056651
0.016326531,-0.054582
0.016439909,-0.052521
0.016553288,-0.050467
0.016666667,-0.048419
0.016780045,-0.046379
0.016893424,-0.044347
0.017006803,-0.042321
0.017120181,-0.040303
0.017233560,-0.038292
0.017346939,-0.036289
0.017460317,-0.034294
0.017573696,-0.032306
0.017687075,-0.030325
0.017800454,-0.028353
0.017913832,-0.026388
0.018027211,-0.024431
0.018140590,-0.022482
0.018253968,-0.020541
0.018367347,-0.018608
0.018480726,-0.016682
0.018594104,-0.014765
0.018707483,-0.012856
0.018820862,-0.010956
0.018934240,-0.009063
0.019047619,-0.007179
0.019160998,-0.005303
0.019274376,-0.003435
0.019387755,-0.001575
0.019501134,0.000276
0.019614512,0.002119
0.019727891,0.003954
0.019841270,0.005780
0.019954649,0.007598
0.020068027,0.009407
0.020181406,0.011208
0.020294785,0.013001
0.020408163,0.014785
0.020521542,0.016561
0.020634921,0.018329
