label,4_u1_200_p(1)
time_s,envelope_detrended
0.029931973,-0.318113
0.030045351,-0.316285
0.030158730,-0.314446
0.030272109,-0.312594
0.030385488,-0.310731
0.030498866,-0.308855
0.030612245,-0.306969
0.030725624,-0.305072
0.030839002,-0.303163
0.030952381,-0.301244
0.031065760,-0.299315
0.031179138,-0.297375
0.031292517,-0.295426
0.031405896,-0.293467
0.031519274,-0.291498
0.031632653,-0.289520
0.031746032,-0.287533
0.031859410,-0.285537
0.031972789,-0.283532
0.032086168,-0.281519
0.032199546,-0.279497
0.032312925,-0.277468
0.032426304,-0.275431
0.032539683,-0.273386
0.032653061,-0.271334
0.032766440,-0.269275
0.032879819,-0.267209
0.032993197,-0.265137
0.033106576,-0.263058
0.033219955,-0.260972
0.033333333,-0.258881
0.033446712,-0.256784
0.033560091,-0.254682
0.033673469,-0.252574
0.033786848,-0.250461
0.033900227,-0.248343
0.034013605,-0.246221
0.034126984,-0.244094
0.034240363,-0.241963
0.034353741,-0.239828
0.034467120,-0.237690
0.034580499,-0.235547
0.034693878,-0.233402
0.034807256,-0.231253
0.034920635,-0.229101
0.035034014,-0.226947
0.035147392,-0.224790
0.035260771,-0.222631
0.035374150,-0.220469
0.035487528,-0.218306
0.035600907,-0.216141
0.035714286,-0.213975
0.035827664,-0.211807
0.035941043,-0.209638
0.036054422,-0.207469
0.036167800,-0.205298
0.036281179,-0.203128
0.036394558,-0.200957
0.036507937,-0.198785
0.036621315,-0.196614
0.036734694,-0.194443
0.036848073,-0.192273
0.036961451,-0.190103
0.037074830,-0.187933
0.037188209,-0.185765
0.037301587,-0.183598
0.037414966,-0.181432
0.037528345,-0.179268
0.037641723,-0.177105
0.037755102,-0.174944
0.037868481,-0.172785
0.037981859,-0.170627
0.038095238,-0.168473
0.038208617,-0.166320
0.038321995,-0.164171
0.038435374,-0.162023
0.038548753,-0.159879
0.038662132,-0.157738
0.038775510,-0.155600
0.038888889,-0.153466
0.039002268,-0.151335
0.039115646,-0.149207
0.039229025,-0.147084
0.039342404,-0.144964
0.039455782,-0.142849
0.039569161,-0.140738
0.039682540,-0.138631
0.039795918,-0.136529
0.039909297,-0.134431
0.040022676,-0.132338
0.040136054,-0.130250
0.040249433,-0.128167
0.040362812,-0.126090
0.040476190,-0.124017
0.040589569,-0.121950
0.040702948,-0.119889
0.040816327,-0.117833
0.040929705,-0.115783
0.041043084,-0.113739
0.041156463,-0.111700
0.041269841,-0.109668
0.041383220,-0.107642
0.041496599,-0.105622
0.041609977,-0.103609
0.041723356,-0.101602
0.041836735,-0.099602
0.041950113,-0.097608
0.042063492,-0.095621
0.042176871,-0.093641
0.042290249,-0.091668
0.042403628,-0.089702
0.042517007,-0.087743
0.042630385,-0.085791
0.042743764,-0.083846
0.042857143,-0.081909
0.042970522,-0.079979
0.043083900,-0.078057
0.043197279,-0.076142
0.043310658,-0.074235
0.043424036,-0.072336
0.043537415,-0.070444
0.043650794,-0.068561
0.043764172,-0.066685
0.043877551,-0.064817
0.043990930,-0.062957
0.044104308,-0.061105
0.044217687,-0.059261
0.044331066,-0.057426
0.044444444,-0.055599
0.044557823,-0.053780
0.044671202,-0.051969
0.044784580,-0.050167
0.044897959,-0.048373
0.045011338,-0.046588
0.045124717,-0.044811
0.045238095,-0.043043
0.045351474,-0.041283
0.045464853,-0.039532
0.045578231,-0.037790
0.045691610,-0.036056
0.045804989,-0.034331
0.045918367,-0.032614
0.046031746,-0.030907
0.046145125,-0.029208
0.046258503,-0.027518
0.046371882,-0.025836
0.046485261,-0.024164
0.046598639,-0.022500
0.046712018,-0.020846
0.046825397,-0.019200
0.046938776,-0.017563
0.047052154,-0.015935
0.047165533,-0.014315
0.047278912,-0.012705
0.047392290,-0.011104
0.047505669,-0.009511
0.047619048,-0.007928
0.047732426,-0.006353
0.047845805,-0.004787
0.047959184,-0.003230
0.048072562,-0.001683
0.048185941,-0.000144
0.048299320,0.001386
0.048412698,0.002907
0.048526077,0.004420
0.048639456,0.005923
0.048752834,0.007417
0.048866213,0.008903
0.048979592,0.010379
0.049092971,0.011847
0.049206349,0.013306
0.049319728,0.014756
0.049433107,0.016198
0.049546485,0.017630
0.049659864,0.019054
0.049773243,0.020469
0.049886621,0.021876
0.050000000,0.023274
0.050113379,0.024663
0.050226757,0.026043
0.050340136,0.027415
0.050453515,0.028779
0.050566893,0.030133
0.050680272,0.031480
0.050793651,0.032818
0.050907029,0.034147
0.051020408,0.035468
0.051133787,0.036781
0.051247166,0.038085
0.051360544,0.039381
0.051473923,0.040669
0.051587302,0.041949
0.051700680,0.043220
0.051814059,0.044483
0.051927438,0.045738
0.052040816,0.046985
0.052154195,0.048224
0.052267574,0.049455
0.052380952,0.050678
0.052494331,0.051893
0.052607710,0.053100
0.052721088,0.054299
0.052834467,0.055490
0.052947846,0.056673
0.053061224,0.057848
0.053174603,0.059016
0.053287982,0.060176
0.053401361,0.061329
0.053514739,0.062473
0.053628118,0.063611
0.053741497,0.064740
0.053854875,0.065863
0.053968254,0.066978
0.054081633,0.068085
0.054195011,0.069186
0.054308390,0.070279
0.054421769,0.071365
0.054535147,0.072443
0.054648526,0.073515
0.054761905,0.074580
0.054875283,0.075638
0.054988662,0.076689
0.055102041,0.077734
0.055215420,0.078771
0.055328798,0.079802
0.055442177,0.080827
0.055555556,0.081844
0.055668934,0.082856
