label,4_c_180_p
time_s,envelope
0.000000000,2.031552
0.000113379,2.034230
0.000226757,2.036888
0.000340136,2.039526
0.000453515,2.042144
0.000566893,2.044740
0.000680272,2.047317
0.000793651,2.049872
0.000907029,2.052407
0.001020408,2.054920
0.001133787,2.057413
0.001247166,2.059886
0.001360544,2.062336
0.001473923,2.064766
0.001587302,2.067175
0.001700680,2.069562
0.001814059,2.071928
0.001927438,2.074272
0.002040816,2.076596
0.002154195,2.078897
0.002267574,2.081177
0.002380952,2.083436
0.002494331,2.085672
0.002607710,2.087887
0.002721088,2.090080
0.002834467,2.092252
0.002947846,2.094401
0.003061224,2.096528
0.003174603,2.098634
0.003287982,2.100717
0.003401361,2.102777
0.003514739,2.104816
0.003628118,2.106832
0.003741497,2.108826
0.003854875,2.110798
0.003968254,2.112747
0.004081633,2.114673
0.004195011,2.116577
0.004308390,2.118459
0.004421769,2.120317
0.004535147,2.122153
0.004648526,2.123966
0.004761905,2.125756
0.004875283,2.127523
0.004988662,2.129268
0.005102041,2.130989
0.005215420,2.132687
0.005328798,2.134362
0.005442177,2.136014
0.005555556,2.137643
0.005668934,2.139249
0.005782313,2.140831
0.005895692,2.142390
0.006009070,2.143925
0.006122449,2.145437
0.006235828,2.146926
0.006349206,2.148391
0.006462585,2.149833
0.006575964,2.151251
0.006689342,2.152646
0.006802721,2.154017
0.006916100,2.155365
0.007029478,2.156689
0.007142857,2.157989
0.007256236,2.159265
0.007369615,2.160518
0.007482993,2.161747
0.007596372,2.162952
0.007709751,2.164134
0.007823129,2.165291
0.007936508,2.166425
0.008049887,2.167535
0.008163265,2.168621
0.008276644,2.169683
0.008390023,2.170722
0.008503401,2.171736
0.008616780,2.172726
0.008730159,2.173692
0.008843537,2.174634
0.008956916,2.175553
0.009070295,2.176447
0.009183673,2.177317
0.009297052,2.178163
0.009410431,2.178984
0.009523810,2.179782
0.009637188,2.180555
0.009750567,2.181304
0.009863946,2.182029
0.009977324,2.182730
0.010090703,2.183407
0.010204082,2.184059
0.010317460,2.184687
0.010430839,2.185290
0.010544218,2.185870
0.010657596,2.186424
0.010770975,2.186955
0.010884354,2.187461
0.010997732,2.187943
0.011111111,2.188400
0.011224490,2.188833
0.011337868,2.189242
0.011451247,2.189626
0.011564626,2.189986
0.011678005,2.190321
0.011791383,2.190632
0.011904762,2.190918
0.012018141,2.191180
0.012131519,2.191418
0.012244898,2.191631
0.012358277,2.191820
0.012471655,2.191984
0.012585034,2.192124
0.012698413,2.192239
0.012811791,2.192330
0.012925170,2.192397
0.013038549,2.192439
0.013151927,2.192457
0.013265306,2.192451
0.013378685,2.192420
0.013492063,2.192365
0.013605442,2.192285
0.013718821,2.192181
0.013832200,2.192053
0.013945578,2.191900
0.014058957,2.191723
0.014172336,2.191522
0.014285714,2.191297
0.014399093,2.191047
0.014512472,2.190773
0.014625850,2.190475
0.014739229,2.190153
0.014852608,2.189807
0.014965986,2.189436
0.015079365,2.189041
0.015192744,2.188622
0.015306122,2.188179
0.015419501,2.187712
0.015532880,2.187221
0.015646259,2.186706
0.015759637,2.186167
0.015873016,2.185604
0.015986395,2.185017
0.016099773,2.184406
0.016213152,2.183771
0.016326531,2.183112
0.016439909,2.182430
0.016553288,2.181723
0.016666667,2.180994
0.016780045,2.180239
0.016893424,2.179462
0.017006803,2.178661
0.017120181,2.177837
0.017233560,2.176989
0.017346939,2.176117
0.017460317,2.175222
0.017573696,2.174304
0.017687075,2.173362
0.017800454,2.172397
0.017913832,2.171408
0.018027211,2.170397
0.018140590,2.169362
0.018253968,2.168304
0.018367347,2.167223
0.018480726,2.166120
0.018594104,2.164993
0.018707483,2.163844
0.018820862,2.162671
0.018934240,2.161476
0.019047619,2.160258
0.019160998,2.159018
0.019274376,2.157755
0.019387755,2.156469
0.019501134,2.155161
0.019614512,2.153831
0.019727891,2.152478
0.019841270,2.151103
0.019954649,2.149706
0.020068027,2.148287
0.020181406,2.146845
0.020294785,2.145382
0.020408163,2.143897
0.020521542,2.142390
0.020634921,2.140861
0.020748299,2.139311
0.020861678,2.137738
0.020975057,2.136145
0.021088435,2.134530
0.021201814,2.132893
0.021315193,2.131235
0.021428571,2.129555
0.021541950,2.127855
0.021655329,2.126134
0.021768707,2.124391
0.021882086,2.122627
0.021995465,2.120843
0.022108844,2.119038
0.022222222,2.117212
0.022335601,2.115366
0.022448980,2.113499
0.022562358,2.111611
0.022675737,2.109704
0.022789116,2.107775
0.022902494,2.105827
0.023015873,2.103859
0.023129252,2.101871
0.023242630,2.099863
0.023356009,2.097835
0.023469388,2.095787
0.023582766,2.093720
0.023696145,2.091633
0.023809524,2.089527
0.023922902,2.087402
0.024036281,2.085257
0.024149660,2.083093
0.024263039,2.080910
0.024376417,2.078708
0.024489796,2.076488
0.024603175,2.074248
0.024716553,2.071990
0.024829932,2.069713
0.024943311,2.067418
0.025056689,2.065104
0.025170068,2.062772
0.025283447,2.060422
0.025396825,2.058054
0.025510204,2.055667
0.025623583,2.053263
0.025736961,2.050841
0.025850340,2.048401
0.025963719,2.045943
0.026077098,2.043468
0.026190476,2.040975
0.026303855,2.038465
0.026417234,2.035938
0.026530612,2.033393
0.026643991,2.030832
0.026757370,2.028253
0.026870748,2.025657
0.026984127,2.023045
0.027097506,2.020416
0.027210884,2.017770
0.027324263,2.015108
0.027437642,2.012429
0.027551020,2.009734
0.027664399,2.007023
0.027777778,2.004296
0.027891156,2.001553
0.028004535,1.998794
0.028117914,1.996019
0.028231293,1.993228
0.028344671,1.990422
0.028458050,1.987600
0.028571429,1.984762
0.028684807,1.981910
0.028798186,1.979042
0.028911565,1.976159
0.029024943,1.973261
0.029138322,1.970349
0.029251701,1.967421
0.029365079,1.964479
0.029478458,1.961522
0.029591837,1.958551
0.029705215,1.955565
0.029818594,1.952565
0.029931973,1.949550
0.030045351,1.946522
0.030158730,1.943480
0.030272109,1.940423
0.030385488,1.937353
0.030498866,1.934269
0.030612245,1.931172
0.030725624,1.928061
0.030839002,1.924936
0.030952381,1.921798
0.031065760,1.918647
0.031179138,1.915483
0.031292517,1.912305
0.031405896,1.909114
0.031519274,1.905911
0.031632653,1.902695
0.031746032,1.899466
0.031859410,1.896224
0.031972789,1.892970
0.032086168,1.889703
0.032199546,1.886424
0.032312925,1.883133
0.032426304,1.879829
0.032539683,1.876514
0.032653061,1.873186
0.032766440,1.869846
0.032879819,1.866495
0.032993197,1.863132
0.033106576,1.859757
0.033219955,1.856370
0.033333333,1.852973
0.033446712,1.849563
0.033560091,1.846143
0.033673469,1.842712
0.033786848,1.839269
0.033900227,1.835816
0.034013605,1.832351
0.034126984,1.828876
0.034240363,1.825390
0.034353741,1.821894
0.034467120,1.818388
0.034580499,1.814870
0.034693878,1.811343
0.034807256,1.807806
0.034920635,1.804259
0.035034014,1.800701
0.035147392,1.797134
0.035260771,1.793558
0.035374150,1.789971
0.035487528,1.786376
0.035600907,1.782770
0.035714286,1.779156
0.035827664,1.775532
0.035941043,1.771900
0.036054422,1.768258
0.036167800,1.764608
