rank,frequency_hz,magnitude_db
1,3000.000,-18.611
2,3008.000,-36.634
3,2992.000,-43.039
4,3002.625,-44.195
5,43.375,-53.827
6,2997.375,-54.677
7,2994.625,-56.595
8,3001.375,-57.948
9,2998.625,-59.698
10,3005.375,-60.474
