label,6_c_200_p
time_s,envelope_detrended
0.000000000,0.184509
0.000113379,0.179850
0.000226757,0.175155
0.000340136,0.170424
0.000453515,0.165656
0.000566893,0.160854
0.000680272,0.156016
0.000793651,0.151142
0.000907029,0.146235
0.001020408,0.141294
0.001133787,0.136319
0.001247166,0.131312
0.001360544,0.126271
0.001473923,0.121197
0.001587302,0.116092
0.001700680,0.110955
0.001814059,0.105785
0.001927438,0.100585
0.002040816,0.095355
0.002154195,0.090097
0.002267574,0.084808
0.002380952,0.079488
0.002494331,0.074142
0.002607710,0.068768
0.002721088,0.063365
0.002834467,0.057935
0.002947846,0.052478
0.003061224,0.046996
0.003174603,0.041488
0.003287982,0.035955
0.003401361,0.030398
0.003514739,0.024817
0.003628118,0.019210
0.003741497,0.013582
0.003854875,0.007931
0.003968254,0.002259
0.004081633,-0.003435
0.004195011,-0.009150
0.004308390,-0.014887
0.004421769,-0.020641
0.004535147,-0.026416
0.004648526,-0.032209
0.004761905,-0.038023
0.004875283,-0.043852
0.004988662,-0.049699
0.005102041,-0.055563
0.005215420,-0.061444
0.005328798,-0.067339
0.005442177,-0.073251
0.005555556,-0.079176
0.005668934,-0.085116
0.005782313,-0.091071
0.005895692,-0.097038
0.006009070,-0.103019
0.006122449,-0.109010
0.006235828,-0.115015
0.006349206,-0.121030
0.006462585,-0.127055
0.006575964,-0.133092
0.006689342,-0.139137
0.006802721,-0.145191
0.006916100,-0.151254
0.007029478,-0.157326
0.007142857,-0.163404
0.007256236,-0.169490
0.007369615,-0.175580
0.007482993,-0.181679
0.007596372,-0.187781
0.007709751,-0.193887
0.007823129,-0.199998
0.007936508,-0.206113
0.008049887,-0.212230
0.008163265,-0.218350
0.008276644,-0.224472
0.008390023,-0.230594
0.008503401,-0.236716
0.008616780,-0.242840
0.008730159,-0.248962
0.008843537,-0.255082
0.008956916,-0.261201
0.009070295,-0.267317
0.009183673,-0.273430
0.009297052,-0.279540
0.009410431,-0.285646
0.009523810,-0.291747
0.009637188,-0.297842
0.009750567,-0.303930
0.009863946,-0.310013
0.009977324,-0.316089
0.010090703,-0.322156
0.010204082,-0.328215
0.010317460,-0.334266
0.010430839,-0.340306
0.010544218,-0.346337
0.010657596,-0.352358
0.010770975,-0.358367
0.010884354,-0.364365
0.010997732,-0.370351
0.011111111,-0.376324
0.011224490,-0.382283
0.011337868,-0.388229
0.011451247,-0.394160
0.011564626,-0.400077
0.011678005,-0.405978
0.011791383,-0.411863
0.011904762,-0.417732
0.012018141,-0.423583
0.012131519,-0.429419
0.012244898,-0.435234
0.012358277,-0.441032
0.012471655,-0.446810
0.012585034,-0.452568
0.012698413,-0.458305
0.012811791,-0.464022
0.012925170,-0.469718
0.013038549,-0.475391
0.013151927,-0.481043
0.013265306,-0.486669
0.013378685,-0.492274
0.013492063,-0.497852
0.013605442,-0.503408
0.013718821,-0.508938
0.013832200,-0.514439
0.013945578,-0.519916
0.014058957,-0.525364
0.014172336,-0.530786
0.014285714,-0.536178
0.014399093,-0.541541
0.014512472,-0.546875
0.014625850,-0.552179
0.014739229,-0.557452
0.014852608,-0.562694
0.014965986,-0.567901
0.015079365,-0.573078
0.015192744,-0.578221
0.015306122,-0.583331
0.015419501,-0.588406
0.015532880,-0.593446
0.015646259,-0.598452
0.015759637,-0.603421
0.015873016,-0.608353
0.015986395,-0.613249
0.016099773,-0.618105
0.016213152,-0.622925
0.016326531,-0.627707
0.016439909,-0.632447
0.016553288,-0.637150
0.016666667,-0.641812
0.016780045,-0.646433
0.016893424,-0.651012
0.017006803,-0.655551
0.017120181,-0.660046
0.017233560,-0.664499
0.017346939,-0.668909
0.017460317,-0.673276
0.017573696,-0.677598
0.017687075,-0.681874
0.017800454,-0.686107
0.017913832,-0.690293
0.018027211,-0.694434
0.018140590,-0.698528
0.018253968,-0.702575
0.018367347,-0.706574
0.018480726,-0.710525
0.018594104,-0.714428
0.018707483,-0.718282
0.018820862,-0.722087
0.018934240,-0.725841
0.019047619,-0.729545
0.019160998,-0.733199
0.019274376,-0.736801
0.019387755,-0.740351
0.019501134,-0.743850
0.019614512,-0.747295
0.019727891,-0.750688
0.019841270,-0.754026
0.019954649,-0.757311
0.020068027,-0.760541
0.020181406,-0.763716
0.020294785,-0.766836
0.020408163,-0.769900
0.020521542,-0.772908
0.020634921,-0.775859
0.020748299,-0.778753
0.020861678,-0.781590
0.020975057,-0.784370
0.021088435,-0.787091
0.021201814,-0.789753
0.021315193,-0.792358
0.021428571,-0.794902
0.021541950,-0.797388
0.021655329,-0.799814
0.021768707,-0.802180
0.021882086,-0.804485
0.021995465,-0.806730
0.022108844,-0.808915
0.022222222,-0.811038
0.022335601,-0.813100
0.022448980,-0.815100
0.022562358,-0.817039
0.022675737,-0.818916
0.022789116,-0.820731
0.022902494,-0.822482
0.023015873,-0.824172
0.023129252,-0.825798
0.023242630,-0.827361
0.023356009,-0.828861
0.023469388,-0.830298
0.023582766,-0.831671
0.023696145,-0.832981
0.023809524,-0.834226
0.023922902,-0.835407
0.024036281,-0.836524
0.024149660,-0.837577
0.024263039,-0.838563
0.024376417,-0.839486
0.024489796,-0.840343
0.024603175,-0.841136
0.024716553,-0.841863
0.024829932,-0.842524
0.024943311,-0.843119
0.025056689,-0.843649
0.025170068,-0.844112
0.025283447,-0.844509
0.025396825,-0.844841
0.025510204,-0.845105
0.025623583,-0.845303
0.025736961,-0.845434
0.025850340,-0.845499
0.025963719,-0.845496
0.026077098,-0.845427
0.026190476,-0.845291
0.026303855,-0.845087
0.026417234,-0.844817
0.026530612,-0.844480
0.026643991,-0.844074
0.026757370,-0.843602
0.026870748,-0.843063
0.026984127,-0.842457
0.027097506,-0.841784
0.027210884,-0.841042
0.027324263,-0.840235
0.027437642,-0.839360
0.027551020,-0.838418
0.027664399,-0.837411
0.027777778,-0.836335
0.027891156,-0.835194
0.028004535,-0.833985
0.028117914,-0.832710
0.028231293,-0.831369
0.028344671,-0.829961
0.028458050,-0.828487
0.028571429,-0.826947
0.028684807,-0.825342
0.028798186,-0.823671
0.028911565,-0.821934
