rank,frequency_hz,magnitude_db
1,10.500,-13.877
2,2.625,-16.178
3,7.875,-26.166
4,21.000,-29.327
5,15.750,-30.205
6,13.125,-31.905
7,5.250,-32.176
8,3.375,-35.451
9,18.375,-38.373
10,2.125,-38.373
