label,5_u1_200_p
time_s,envelope_detrended
0.000000000,-0.675074
0.000113379,-0.671638
0.000226757,-0.668156
0.000340136,-0.664628
0.000453515,-0.661054
0.000566893,-0.657435
0.000680272,-0.653771
0.000793651,-0.650062
0.000907029,-0.646308
0.001020408,-0.642510
0.001133787,-0.638667
0.001247166,-0.634781
0.001360544,-0.630850
0.001473923,-0.626876
0.001587302,-0.622859
0.001700680,-0.618798
0.001814059,-0.614695
0.001927438,-0.610548
0.002040816,-0.606360
0.002154195,-0.602130
0.002267574,-0.597857
0.002380952,-0.593544
0.002494331,-0.589189
0.002607710,-0.584793
0.002721088,-0.580356
0.002834467,-0.575879
0.002947846,-0.571361
0.003061224,-0.566804
0.003174603,-0.562208
0.003287982,-0.557571
0.003401361,-0.552896
0.003514739,-0.548183
0.003628118,-0.543430
0.003741497,-0.538640
0.003854875,-0.533812
0.003968254,-0.528947
0.004081633,-0.524044
0.004195011,-0.519105
0.004308390,-0.514129
0.004421769,-0.509116
0.004535147,-0.504068
0.004648526,-0.498984
0.004761905,-0.493865
0.004875283,-0.488711
0.004988662,-0.483523
0.005102041,-0.478300
0.005215420,-0.473044
0.005328798,-0.467754
0.005442177,-0.462430
0.005555556,-0.457074
0.005668934,-0.451686
0.005782313,-0.446265
0.005895692,-0.440813
0.006009070,-0.435330
0.006122449,-0.429815
0.006235828,-0.424270
0.006349206,-0.418694
0.006462585,-0.413088
0.006575964,-0.407453
0.006689342,-0.401789
0.006802721,-0.396096
0.006916100,-0.390375
0.007029478,-0.384625
0.007142857,-0.378848
0.007256236,-0.373043
0.007369615,-0.367212
0.007482993,-0.361354
0.007596372,-0.355470
0.007709751,-0.349560
0.007823129,-0.343625
0.007936508,-0.337665
0.008049887,-0.331680
0.008163265,-0.325672
0.008276644,-0.319639
0.008390023,-0.313583
0.008503401,-0.307505
0.008616780,-0.301403
0.008730159,-0.295279
0.008843537,-0.289134
0.008956916,-0.282967
0.009070295,-0.276779
0.009183673,-0.270570
0.009297052,-0.264342
0.009410431,-0.258093
0.009523810,-0.251825
0.009637188,-0.245538
0.009750567,-0.239232
0.009863946,-0.232908
0.009977324,-0.226565
0.010090703,-0.220206
0.010204082,-0.213829
0.010317460,-0.207436
0.010430839,-0.201026
0.010544218,-0.194601
0.010657596,-0.188159
0.010770975,-0.181703
0.010884354,-0.175232
0.010997732,-0.168747
0.011111111,-0.162248
0.011224490,-0.155735
0.011337868,-0.149209
0.011451247,-0.142671
0.011564626,-0.136120
0.011678005,-0.129557
0.011791383,-0.122982
0.011904762,-0.116397
0.012018141,-0.109800
0.012131519,-0.103194
0.012244898,-0.096577
0.012358277,-0.089951
0.012471655,-0.083315
0.012585034,-0.076671
0.012698413,-0.070019
0.012811791,-0.063359
0.012925170,-0.056691
0.013038549,-0.050017
0.013151927,-0.043336
0.013265306,-0.036649
0.013378685,-0.029956
0.013492063,-0.023257
0.013605442,-0.016554
0.013718821,-0.009846
0.013832200,-0.003134
0.013945578,0.003582
0.014058957,0.010301
0.014172336,0.017023
0.014285714,0.023747
0.014399093,0.030473
0.014512472,0.037201
0.014625850,0.043930
0.014739229,0.050660
0.014852608,0.057390
0.014965986,0.064121
0.015079365,0.070851
0.015192744,0.077580
0.015306122,0.084307
0.015419501,0.091033
0.015532880,0.097757
0.015646259,0.104479
0.015759637,0.111197
0.015873016,0.117912
0.015986395,0.124623
0.016099773,0.131330
0.016213152,0.138032
0.016326531,0.144729
0.016439909,0.151420
0.016553288,0.158106
0.016666667,0.164785
0.016780045,0.171457
0.016893424,0.178122
0.017006803,0.184779
0.017120181,0.191428
0.017233560,0.198069
0.017346939,0.204700
0.017460317,0.211322
0.017573696,0.217934
0.017687075,0.224536
0.017800454,0.231127
0.017913832,0.237706
0.018027211,0.244275
0.018140590,0.250831
0.018253968,0.257374
0.018367347,0.263904
0.018480726,0.270422
0.018594104,0.276925
0.018707483,0.283414
0.018820862,0.289888
0.018934240,0.296347
0.019047619,0.302790
0.019160998,0.309218
0.019274376,0.315628
0.019387755,0.322022
0.019501134,0.328399
0.019614512,0.334758
0.019727891,0.341099
0.019841270,0.347421
0.019954649,0.353724
0.020068027,0.360008
0.020181406,0.366272
0.020294785,0.372515
0.020408163,0.378738
0.020521542,0.384940
0.020634921,0.391120
0.020748299,0.397278
0.020861678,0.403413
0.020975057,0.409526
0.021088435,0.415616
0.021201814,0.421682
0.021315193,0.427723
0.021428571,0.433740
0.021541950,0.439732
0.021655329,0.445699
0.021768707,0.451640
0.021882086,0.457555
0.021995465,0.463443
0.022108844,0.469304
0.022222222,0.475138
0.022335601,0.480944
0.022448980,0.486722
0.022562358,0.492471
0.022675737,0.498191
0.022789116,0.503882
0.022902494,0.509543
0.023015873,0.515174
0.023129252,0.520774
0.023242630,0.526344
0.023356009,0.531881
0.023469388,0.537388
0.023582766,0.542862
0.023696145,0.548303
0.023809524,0.553712
0.023922902,0.559087
0.024036281,0.564428
0.024149660,0.569736
