rank,frequency_hz,magnitude_db
1,2.625,-24.258
2,20.375,-28.603
3,5.125,-30.866
4,10.125,-32.702
5,1.625,-35.070
6,2.875,-38.071
7,3.875,-38.165
8,7.625,-38.322
9,15.375,-39.892
10,3.125,-41.095
