time_s,envelope
0.032879819,20.741415
0.032993197,20.742363
0.033106576,20.743309
0.033219955,20.744257
0.033333333,20.745205
0.033446712,20.746157
0.033560091,20.747107
0.033673469,20.748060
0.033786848,20.749010
0.033900227,20.749964
0.034013605,20.750917
0.034126984,20.751871
0.034240363,20.752825
0.034353741,20.753778
0.034467120,20.754732
0.034580499,20.755686
0.034693878,20.756639
0.034807256,20.757591
0.034920635,20.758545
0.035034014,20.759497
0.035147392,20.760448
0.035260771,20.761400
0.035374150,20.762352
0.035487528,20.763302
0.035600907,20.764250
0.035714286,20.765198
0.035827664,20.766144
0.035941043,20.767092
0.036054422,20.768036
0.036167800,20.768980
0.036281179,20.769922
0.036394558,20.770864
0.036507937,20.771803
0.036621315,20.772741
0.036734694,20.773678
0.036848073,20.774611
0.036961451,20.775545
0.037074830,20.776476
0.037188209,20.777407
0.037301587,20.778334
0.037414966,20.779259
0.037528345,20.780184
0.037641723,20.781105
0.037755102,20.782026
0.037868481,20.782944
0.037981859,20.783861
0.038095238,20.784775
0.038208617,20.785686
0.038321995,20.786596
0.038435374,20.787504
0.038548753,20.788410
0.038662132,20.789314
0.038775510,20.790218
0.038888889,20.791119
0.039002268,20.792017
0.039115646,20.792913
0.039229025,20.793808
0.039342404,20.794701
0.039455782,20.795591
0.039569161,20.796480
0.039682540,20.797367
0.039795918,20.798252
0.039909297,20.799135
0.040022676,20.800016
0.040136054,20.800894
0.040249433,20.801771
0.040362812,20.802647
0.040476190,20.803518
0.040589569,20.804388
0.040702948,20.805258
0.040816327,20.806124
0.040929705,20.806986
0.041043084,20.807848
0.041156463,20.808706
0.041269841,20.809561
0.041383220,20.810413
0.041496599,20.811264
0.041609977,20.812111
0.041723356,20.812956
0.041836735,20.813797
0.041950113,20.814634
0.042063492,20.815468
0.042176871,20.816299
0.042290249,20.817125
0.042403628,20.817947
0.042517007,20.818768
0.042630385,20.819584
0.042743764,20.820395
0.042857143,20.821201
0.042970522,20.822004
