time_s,raw
0.000000000,-1931.500000
0.000113379,-1241.000000
0.000226757,3019.000000
0.000340136,-2593.500000
0.000453515,-1219.500000
0.000566893,2624.500000
0.000680272,-2669.500000
0.000793651,-314.000000
0.000907029,3192.000000
0.001020408,-2542.500000
0.001133787,142.500000
0.001247166,2539.000000
0.001360544,-3024.000000
0.001473923,557.000000
0.001587302,2666.000000
0.001700680,-2755.000000
0.001814059,1159.500000
0.001927438,2210.000000
0.002040816,-3105.000000
0.002154195,1262.500000
0.002267574,1726.000000
0.002380952,-3240.000000
0.002494331,1497.500000
0.002607710,1132.500000
0.002721088,-3466.500000
0.002834467,1748.500000
0.002947846,865.000000
0.003061224,-3057.500000
0.003174603,2375.500000
0.003287982,559.500000
0.003401361,-3075.500000
0.003514739,2408.000000
0.003628118,194.500000
0.003741497,-2528.000000
0.003854875,3182.000000
0.003968254,195.000000
0.004081633,-2240.000000
0.004195011,3163.500000
0.004308390,-494.500000
0.004421769,-2202.000000
0.004535147,3042.000000
0.004648526,-987.500000
0.004761905,-2030.500000
0.004875283,3134.000000
0.004988662,-1355.000000
0.005102041,-1662.500000
0.005215420,2970.000000
0.005328798,-1915.000000
0.005442177,-1590.500000
0.005555556,2779.000000
0.005668934,-2260.500000
0.005782313,-921.000000
0.005895692,3099.000000
0.006009070,-1960.000000
0.006122449,-214.000000
0.006235828,2992.000000
0.006349206,-2417.000000
0.006462585,9.000000
0.006575964,2815.000000
0.006689342,-2357.500000
0.006802721,574.000000
0.006916100,2534.000000
0.007029478,-2882.000000
0.007142857,610.000000
0.007256236,2023.000000
0.007369615,-2909.500000
0.007482993,937.500000
0.007596372,1502.500000
0.007709751,-3508.000000
0.007823129,894.500000
0.007936508,1008.500000
0.008049887,-3094.500000
0.008163265,1884.000000
0.008276644,1256.500000
0.008390023,-2853.000000
0.008503401,1898.500000
0.008616780,431.500000
0.008730159,-2901.500000
0.008843537,2502.000000
0.008956916,831.000000
0.009070295,-2181.000000
0.009183673,2840.500000
0.009297052,22.000000
0.009410431,-2532.000000
0.009523810,2559.000000
0.009637188,-539.000000
