label,5_c_100_p
time_s,envelope
0.000000000,1.042092
0.000113379,1.041403
0.000226757,1.040715
0.000340136,1.040029
0.000453515,1.039346
0.000566893,1.038664
0.000680272,1.037984
0.000793651,1.037306
0.000907029,1.036630
0.001020408,1.035956
0.001133787,1.035283
0.001247166,1.034613
0.001360544,1.033946
0.001473923,1.033280
0.001587302,1.032616
0.001700680,1.031955
0.001814059,1.031296
0.001927438,1.030639
0.002040816,1.029984
0.002154195,1.029332
0.002267574,1.028682
0.002380952,1.028034
0.002494331,1.027389
0.002607710,1.026747
0.002721088,1.026106
0.002834467,1.025469
0.002947846,1.024834
0.003061224,1.024201
0.003174603,1.023571
0.003287982,1.022944
0.003401361,1.022319
0.003514739,1.021697
0.003628118,1.021078
0.003741497,1.020461
0.003854875,1.019848
0.003968254,1.019236
0.004081633,1.018628
0.004195011,1.018023
0.004308390,1.017420
0.004421769,1.016820
0.004535147,1.016222
0.004648526,1.015628
0.004761905,1.015036
0.004875283,1.014447
0.004988662,1.013861
0.005102041,1.013278
0.005215420,1.012698
0.005328798,1.012120
0.005442177,1.011545
0.005555556,1.010973
0.005668934,1.010404
0.005782313,1.009838
0.005895692,1.009274
0.006009070,1.008713
0.006122449,1.008155
0.006235828,1.007600
0.006349206,1.007047
0.006462585,1.006497
0.006575964,1.005950
0.006689342,1.005406
0.006802721,1.004864
0.006916100,1.004325
0.007029478,1.003789
0.007142857,1.003256
0.007256236,1.002725
0.007369615,1.002197
0.007482993,1.001672
0.007596372,1.001149
0.007709751,1.000629
0.007823129,1.000112
0.007936508,0.999598
0.008049887,0.999086
0.008163265,0.998577
0.008276644,0.998071
0.008390023,0.997567
0.008503401,0.997066
0.008616780,0.996567
0.008730159,0.996072
0.008843537,0.995578
0.008956916,0.995088
0.009070295,0.994600
0.009183673,0.994115
0.009297052,0.993632
0.009410431,0.993152
0.009523810,0.992674
0.009637188,0.992199
0.009750567,0.991726
0.009863946,0.991256
0.009977324,0.990788
0.010090703,0.990322
0.010204082,0.989859
0.010317460,0.989399
0.010430839,0.988940
0.010544218,0.988484
0.010657596,0.988030
0.010770975,0.987579
0.010884354,0.987129
0.010997732,0.986682
0.011111111,0.986236
0.011224490,0.985793
0.011337868,0.985352
0.011451247,0.984913
0.011564626,0.984475
0.011678005,0.984040
0.011791383,0.983606
0.011904762,0.983174
0.012018141,0.982744
0.012131519,0.982316
0.012244898,0.981889
0.012358277,0.981464
0.012471655,0.981041
0.012585034,0.980619
0.012698413,0.980199
0.012811791,0.979780
0.012925170,0.979363
0.013038549,0.978947
0.013151927,0.978532
0.013265306,0.978119
0.013378685,0.977707
0.013492063,0.977296
0.013605442,0.976887
0.013718821,0.976478
0.013832200,0.976071
0.013945578,0.975665
0.014058957,0.975260
0.014172336,0.974857
0.014285714,0.974454
0.014399093,0.974052
0.014512472,0.973651
0.014625850,0.973251
0.014739229,0.972852
0.014852608,0.972454
0.014965986,0.972056
0.015079365,0.971659
0.015192744,0.971263
0.015306122,0.970868
0.015419501,0.970473
0.015532880,0.970078
0.015646259,0.969684
0.015759637,0.969291
0.015873016,0.968898
0.015986395,0.968505
0.016099773,0.968112
0.016213152,0.967720
0.016326531,0.967328
0.016439909,0.966936
0.016553288,0.966544
0.016666667,0.966152
