rank,frequency_hz,magnitude_db
1,3000.000,-13.253
2,2993.125,-51.883
3,2820.000,-58.154
4,3023.375,-60.382
5,3006.875,-62.752
6,384.500,-64.120
7,383.875,-64.400
8,383.625,-65.363
9,382.625,-65.836
10,385.500,-66.538
