rank,frequency_hz,magnitude_db
1,6.875,-9.490
2,3.875,-26.475
3,23.500,-29.818
4,3.000,-30.805
5,1.000,-32.746
6,4.875,-33.341
7,5.875,-38.751
8,7.875,-41.456
9,2.000,-46.374
10,8.875,-46.648
