label,6_c_80_p
time_s,envelope_detrended
0.000000000,-0.653721
0.000113379,-0.655105
0.000226757,-0.656484
0.000340136,-0.657860
0.000453515,-0.659232
0.000566893,-0.660599
0.000680272,-0.661963
0.000793651,-0.663321
0.000907029,-0.664675
0.001020408,-0.666025
0.001133787,-0.667368
0.001247166,-0.668707
0.001360544,-0.670038
0.001473923,-0.671366
0.001587302,-0.672686
0.001700680,-0.674003
0.001814059,-0.675311
0.001927438,-0.676613
0.002040816,-0.677909
0.002154195,-0.679200
0.002267574,-0.680482
0.002380952,-0.681758
0.002494331,-0.683027
0.002607710,-0.684290
0.002721088,-0.685545
0.002834467,-0.686792
0.002947846,-0.688033
0.003061224,-0.689266
0.003174603,-0.690491
0.003287982,-0.691708
0.003401361,-0.692918
0.003514739,-0.694118
0.003628118,-0.695312
0.003741497,-0.696497
0.003854875,-0.697673
0.003968254,-0.698840
0.004081633,-0.700000
0.004195011,-0.701149
0.004308390,-0.702290
0.004421769,-0.703421
0.004535147,-0.704543
0.004648526,-0.705655
0.004761905,-0.706757
0.004875283,-0.707850
0.004988662,-0.708930
0.005102041,-0.710001
0.005215420,-0.711062
0.005328798,-0.712111
0.005442177,-0.713150
0.005555556,-0.714178
0.005668934,-0.715193
0.005782313,-0.716198
0.005895692,-0.717190
0.006009070,-0.718171
0.006122449,-0.719139
0.006235828,-0.720096
0.006349206,-0.721039
0.006462585,-0.721971
0.006575964,-0.722891
0.006689342,-0.723798
0.006802721,-0.724692
0.006916100,-0.725572
0.007029478,-0.726440
0.007142857,-0.727296
0.007256236,-0.728139
0.007369615,-0.728967
0.007482993,-0.729784
0.007596372,-0.730588
0.007709751,-0.731379
0.007823129,-0.732156
0.007936508,-0.732921
0.008049887,-0.733673
0.008163265,-0.734411
0.008276644,-0.735136
0.008390023,-0.735849
0.008503401,-0.736548
0.008616780,-0.737233
0.008730159,-0.737906
0.008843537,-0.738567
0.008956916,-0.739214
0.009070295,-0.739848
0.009183673,-0.740467
0.009297052,-0.741076
0.009410431,-0.741670
0.009523810,-0.742251
0.009637188,-0.742820
0.009750567,-0.743374
0.009863946,-0.743916
0.009977324,-0.744444
0.010090703,-0.744959
0.010204082,-0.745460
0.010317460,-0.745948
0.010430839,-0.746423
0.010544218,-0.746885
0.010657596,-0.747332
0.010770975,-0.747765
0.010884354,-0.748186
