rank,frequency_hz,magnitude_db
1,3000.000,-24.576
2,2989.500,-37.400
3,3010.500,-43.596
4,2979.000,-54.465
5,768.000,-56.966
6,1276.000,-56.966
7,1279.500,-57.729
8,766.000,-58.972
9,1279.875,-59.316
10,1277.000,-59.342
