rank,frequency_hz,magnitude_db
1,3000.000,-14.162
2,2997.250,-55.275
3,2820.000,-60.491
4,3023.500,-60.900
5,3002.750,-62.884
6,180.000,-69.404
7,2998.375,-71.262
8,3003.250,-74.108
9,2640.000,-74.126
10,3001.250,-74.195
