rank,frequency_hz,magnitude_db
1,3000.000,-22.507
2,3000.875,-57.283
3,2999.625,-59.228
4,180.000,-64.822
5,2999.125,-65.596
6,2998.375,-65.938
7,3002.500,-67.900
8,2820.000,-68.315
9,3046.875,-68.895
10,3001.625,-71.433
