label,3_u1_180_p
time_s,envelope_detrended
0.000000000,-0.551554
0.000113379,-0.554400
0.000226757,-0.557236
0.000340136,-0.560060
0.000453515,-0.562873
0.000566893,-0.565675
0.000680272,-0.568466
0.000793651,-0.571245
0.000907029,-0.574012
0.001020408,-0.576767
0.001133787,-0.579511
0.001247166,-0.582242
0.001360544,-0.584961
0.001473923,-0.587668
0.001587302,-0.590362
0.001700680,-0.593043
0.001814059,-0.595711
0.001927438,-0.598367
0.002040816,-0.601009
0.002154195,-0.603638
0.002267574,-0.606254
0.002380952,-0.608856
0.002494331,-0.611444
0.002607710,-0.614018
0.002721088,-0.616579
0.002834467,-0.619125
0.002947846,-0.621656
0.003061224,-0.624174
0.003174603,-0.626676
0.003287982,-0.629164
0.003401361,-0.631637
0.003514739,-0.634095
0.003628118,-0.636538
0.003741497,-0.638966
0.003854875,-0.641378
0.003968254,-0.643775
0.004081633,-0.646156
0.004195011,-0.648521
0.004308390,-0.650870
0.004421769,-0.653203
0.004535147,-0.655520
0.004648526,-0.657820
0.004761905,-0.660104
0.004875283,-0.662371
0.004988662,-0.664621
0.005102041,-0.666855
0.005215420,-0.669071
0.005328798,-0.671270
0.005442177,-0.673451
0.005555556,-0.675615
0.005668934,-0.677761
0.005782313,-0.679890
0.005895692,-0.682000
0.006009070,-0.684093
0.006122449,-0.686166
0.006235828,-0.688222
0.006349206,-0.690259
0.006462585,-0.692276
0.006575964,-0.694276
0.006689342,-0.696256
0.006802721,-0.698216
0.006916100,-0.700158
0.007029478,-0.702080
0.007142857,-0.703982
0.007256236,-0.705864
0.007369615,-0.707727
0.007482993,-0.709569
0.007596372,-0.711391
0.007709751,-0.713193
0.007823129,-0.714974
0.007936508,-0.716735
0.008049887,-0.718474
0.008163265,-0.720193
0.008276644,-0.721891
0.008390023,-0.723567
0.008503401,-0.725222
0.008616780,-0.726855
0.008730159,-0.728467
0.008843537,-0.730057
0.008956916,-0.731625
0.009070295,-0.733171
0.009183673,-0.734694
0.009297052,-0.736196
0.009410431,-0.737675
0.009523810,-0.739131
0.009637188,-0.740565
0.009750567,-0.741976
0.009863946,-0.743364
0.009977324,-0.744729
0.010090703,-0.746071
0.010204082,-0.747389
0.010317460,-0.748684
0.010430839,-0.749956
0.010544218,-0.751204
0.010657596,-0.752428
0.010770975,-0.753628
0.010884354,-0.754804
0.010997732,-0.755956
0.011111111,-0.757083
0.011224490,-0.758186
0.011337868,-0.759264
0.011451247,-0.760318
0.011564626,-0.761346
0.011678005,-0.762350
0.011791383,-0.763328
0.011904762,-0.764282
0.012018141,-0.765209
0.012131519,-0.766112
0.012244898,-0.766988
0.012358277,-0.767839
0.012471655,-0.768664
0.012585034,-0.769463
0.012698413,-0.770235
0.012811791,-0.770981
0.012925170,-0.771701
0.013038549,-0.772394
0.013151927,-0.773061
0.013265306,-0.773701
0.013378685,-0.774313
0.013492063,-0.774899
0.013605442,-0.775458
0.013718821,-0.775989
0.013832200,-0.776493
0.013945578,-0.776970
0.014058957,-0.777418
0.014172336,-0.777840
0.014285714,-0.778233
0.014399093,-0.778599
0.014512472,-0.778937
0.014625850,-0.779246
0.014739229,-0.779528
0.014852608,-0.779781
0.014965986,-0.780006
0.015079365,-0.780203
0.015192744,-0.780372
0.015306122,-0.780512
0.015419501,-0.780623
0.015532880,-0.780706
0.015646259,-0.780760
0.015759637,-0.780786
0.015873016,-0.780782
0.015986395,-0.780750
0.016099773,-0.780689
0.016213152,-0.780599
0.016326531,-0.780480
