time_s,raw
0.000000000,-458.000000
0.000113379,-3860.000000
0.000226757,4390.000000
0.000340136,-1086.000000
0.000453515,-3415.000000
0.000566893,4615.000000
0.000680272,-1656.000000
0.000793651,-2948.000000
0.000907029,4675.500000
0.001020408,-2276.000000
0.001133787,-2470.500000
0.001247166,4699.000000
0.001360544,-2795.500000
0.001473923,-1914.500000
0.001587302,4636.000000
0.001700680,-3299.500000
0.001814059,-1318.500000
0.001927438,4526.000000
0.002040816,-3728.000000
0.002154195,-713.500000
0.002267574,4285.000000
0.002380952,-4143.000000
0.002494331,-146.000000
0.002607710,4010.000000
0.002721088,-4444.500000
0.002834467,462.000000
0.002947846,3693.000000
0.003061224,-4659.500000
0.003174603,1077.500000
0.003287982,3272.000000
0.003401361,-4776.000000
0.003514739,1693.500000
0.003628118,2844.500000
0.003741497,-4833.000000
0.003854875,2217.000000
0.003968254,2337.500000
0.004081633,-4836.500000
0.004195011,2717.000000
0.004308390,1771.000000
0.004421769,-4819.500000
0.004535147,3183.500000
0.004648526,1179.000000
0.004761905,-4699.000000
0.004875283,3570.500000
0.004988662,592.500000
0.005102041,-4406.500000
0.005215420,3946.500000
0.005328798,-18.500000
0.005442177,-4088.500000
0.005555556,4263.000000
0.005668934,-615.500000
0.005782313,-3679.500000
0.005895692,4518.000000
0.006009070,-1240.500000
0.006122449,-3231.500000
0.006235828,4673.000000
0.006349206,-1763.000000
0.006462585,-2708.500000
0.006575964,4771.500000
0.006689342,-2307.500000
0.006802721,-2230.000000
0.006916100,4767.500000
0.007029478,-2841.000000
0.007142857,-1644.500000
0.007256236,4739.500000
0.007369615,-3368.000000
0.007482993,-1094.000000
0.007596372,4512.500000
0.007709751,-3787.500000
0.007823129,-449.500000
0.007936508,4348.000000
0.008049887,-4110.000000
0.008163265,146.000000
0.008276644,4027.500000
0.008390023,-4421.000000
0.008503401,787.000000
0.008616780,3706.000000
0.008730159,-4560.000000
0.008843537,1422.000000
0.008956916,3260.000000
