rank,frequency_hz,magnitude_db
1,3000.000,-29.916
2,2993.000,-35.440
3,3007.000,-39.747
4,3014.000,-49.454
5,2990.625,-58.911
6,2986.000,-59.185
7,121.375,-60.421
8,2997.625,-61.863
9,455.875,-62.150
10,3002.375,-62.388
