rank,frequency_hz,magnitude_db
1,3000.000,-23.218
2,2998.375,-38.871
3,3001.625,-39.032
4,2996.750,-53.559
5,3000.375,-56.466
6,2999.625,-60.117
7,2999.125,-62.172
8,3046.875,-63.541
9,2820.000,-64.304
10,3000.875,-65.658
