rank,frequency_hz,magnitude_db
1,5.625,-16.876
2,2.875,-25.185
3,6.250,-25.381
4,1.375,-25.444
5,4.250,-28.126
6,6.875,-31.553
7,12.500,-33.547
8,13.000,-37.313
9,11.875,-37.530
10,8.250,-38.927
