label,5_c_140_p
time_s,envelope_detrended
0.000000000,-0.030062
0.000113379,-0.031802
0.000226757,-0.033540
0.000340136,-0.035275
0.000453515,-0.037009
0.000566893,-0.038741
0.000680272,-0.040470
0.000793651,-0.042196
0.000907029,-0.043920
0.001020408,-0.045642
0.001133787,-0.047360
0.001247166,-0.049075
0.001360544,-0.050788
0.001473923,-0.052497
0.001587302,-0.054203
0.001700680,-0.055906
0.001814059,-0.057605
0.001927438,-0.059300
0.002040816,-0.060992
0.002154195,-0.062680
0.002267574,-0.064364
0.002380952,-0.066044
0.002494331,-0.067720
0.002607710,-0.069392
0.002721088,-0.071059
0.002834467,-0.072722
0.002947846,-0.074380
0.003061224,-0.076033
0.003174603,-0.077682
0.003287982,-0.079325
0.003401361,-0.080964
0.003514739,-0.082597
0.003628118,-0.084225
0.003741497,-0.085848
0.003854875,-0.087465
0.003968254,-0.089076
0.004081633,-0.090681
0.004195011,-0.092281
0.004308390,-0.093874
0.004421769,-0.095461
0.004535147,-0.097041
0.004648526,-0.098616
0.004761905,-0.100183
0.004875283,-0.101744
0.004988662,-0.103298
0.005102041,-0.104845
0.005215420,-0.106385
0.005328798,-0.107917
0.005442177,-0.109443
0.005555556,-0.110961
0.005668934,-0.112471
0.005782313,-0.113974
0.005895692,-0.115469
0.006009070,-0.116956
0.006122449,-0.118436
0.006235828,-0.119907
0.006349206,-0.121370
0.006462585,-0.122826
0.006575964,-0.124273
0.006689342,-0.125711
0.006802721,-0.127142
0.006916100,-0.128564
0.007029478,-0.129977
0.007142857,-0.131382
0.007256236,-0.132778
0.007369615,-0.134165
0.007482993,-0.135544
0.007596372,-0.136913
0.007709751,-0.138274
0.007823129,-0.139626
0.007936508,-0.140968
0.008049887,-0.142302
0.008163265,-0.143626
0.008276644,-0.144941
0.008390023,-0.146246
0.008503401,-0.147543
0.008616780,-0.148829
0.008730159,-0.150106
0.008843537,-0.151374
0.008956916,-0.152631
0.009070295,-0.153879
0.009183673,-0.155117
0.009297052,-0.156345
0.009410431,-0.157563
0.009523810,-0.158771
0.009637188,-0.159968
0.009750567,-0.161156
0.009863946,-0.162333
0.009977324,-0.163499
0.010090703,-0.164655
0.010204082,-0.165801
0.010317460,-0.166936
