rank,frequency_hz,magnitude_db
1,3000.000,-20.354
2,2990.000,-33.309
3,3010.000,-36.736
4,389.750,-45.115
5,390.375,-52.357
6,390.125,-53.044
7,1364.375,-55.087
8,2980.000,-56.706
9,1364.000,-58.374
10,389.125,-58.457
