rank,frequency_hz,magnitude_db
1,18.375,-16.070
2,10.500,-22.781
3,7.875,-25.542
4,5.250,-25.841
5,2.625,-28.797
6,13.125,-33.540
7,1.625,-35.395
8,21.000,-35.602
9,6.250,-36.214
10,11.500,-36.735
