label,10_c_180_p
time_s,envelope_detrended
0.000000000,0.208850
0.000113379,0.207719
0.000226757,0.206579
0.000340136,0.205426
0.000453515,0.204260
0.000566893,0.203083
0.000680272,0.201892
0.000793651,0.200690
0.000907029,0.199475
0.001020408,0.198247
0.001133787,0.197008
0.001247166,0.195755
0.001360544,0.194491
0.001473923,0.193214
0.001587302,0.191922
0.001700680,0.190618
0.001814059,0.189301
0.001927438,0.187972
0.002040816,0.186630
0.002154195,0.185274
0.002267574,0.183905
0.002380952,0.182524
0.002494331,0.181131
0.002607710,0.179725
0.002721088,0.178304
0.002834467,0.176871
0.002947846,0.175425
0.003061224,0.173967
0.003174603,0.172494
0.003287982,0.171009
0.003401361,0.169511
0.003514739,0.168001
0.003628118,0.166478
0.003741497,0.164943
0.003854875,0.163393
0.003968254,0.161831
0.004081633,0.160259
0.004195011,0.158672
0.004308390,0.157072
0.004421769,0.155461
0.004535147,0.153836
0.004648526,0.152200
0.004761905,0.150551
0.004875283,0.148889
0.004988662,0.147215
0.005102041,0.145527
0.005215420,0.143828
0.005328798,0.142114
0.005442177,0.140391
0.005555556,0.138653
0.005668934,0.136904
0.005782313,0.135141
0.005895692,0.133368
0.006009070,0.131582
0.006122449,0.129785
0.006235828,0.127974
0.006349206,0.126152
0.006462585,0.124319
0.006575964,0.122474
0.006689342,0.120616
0.006802721,0.118749
0.006916100,0.116869
0.007029478,0.114982
0.007142857,0.113080
0.007256236,0.111170
0.007369615,0.109251
0.007482993,0.107319
0.007596372,0.105380
0.007709751,0.103431
0.007823129,0.101471
0.007936508,0.099502
0.008049887,0.097526
0.008163265,0.095539
0.008276644,0.093545
0.008390023,0.091544
0.008503401,0.089535
0.008616780,0.087516
0.008730159,0.085493
0.008843537,0.083461
0.008956916,0.081420
0.009070295,0.079377
0.009183673,0.077323
0.009297052,0.075265
0.009410431,0.073199
0.009523810,0.071128
0.009637188,0.069052
0.009750567,0.066971
0.009863946,0.064883
0.009977324,0.062790
0.010090703,0.060691
0.010204082,0.058588
0.010317460,0.056482
0.010430839,0.054369
0.010544218,0.052254
0.010657596,0.050136
0.010770975,0.048012
0.010884354,0.045887
0.010997732,0.043756
0.011111111,0.041623
0.011224490,0.039490
0.011337868,0.037352
0.011451247,0.035211
0.011564626,0.033071
0.011678005,0.030928
0.011791383,0.028782
0.011904762,0.026637
0.012018141,0.024489
0.012131519,0.022341
0.012244898,0.020192
0.012358277,0.018044
0.012471655,0.015896
0.012585034,0.013748
0.012698413,0.011600
0.012811791,0.009452
0.012925170,0.007306
0.013038549,0.005160
0.013151927,0.003017
0.013265306,0.000874
0.013378685,-0.001267
0.013492063,-0.003406
0.013605442,-0.005541
0.013718821,-0.007677
0.013832200,-0.009808
0.013945578,-0.011937
0.014058957,-0.014060
0.014172336,-0.016184
0.014285714,-0.018303
0.014399093,-0.020416
0.014512472,-0.022528
0.014625850,-0.024634
0.014739229,-0.026738
0.014852608,-0.028837
0.014965986,-0.030931
0.015079365,-0.033020
0.015192744,-0.035104
0.015306122,-0.037186
0.015419501,-0.039260
0.015532880,-0.041332
0.015646259,-0.043396
0.015759637,-0.045458
0.015873016,-0.047512
0.015986395,-0.049564
0.016099773,-0.051609
0.016213152,-0.053649
0.016326531,-0.055683
0.016439909,-0.057713
0.016553288,-0.059736
0.016666667,-0.061755
0.016780045,-0.063768
0.016893424,-0.065775
0.017006803,-0.067778
0.017120181,-0.069776
0.017233560,-0.071769
