label,10_c_180_p
time_s,envelope_detrended
0.000000000,0.344144
0.000113379,0.344197
0.000226757,0.344249
0.000340136,0.344300
0.000453515,0.344347
0.000566893,0.344393
0.000680272,0.344438
0.000793651,0.344481
0.000907029,0.344524
0.001020408,0.344564
0.001133787,0.344602
0.001247166,0.344640
0.001360544,0.344678
0.001473923,0.344713
0.001587302,0.344748
0.001700680,0.344784
0.001814059,0.344817
0.001927438,0.344850
0.002040816,0.344885
0.002154195,0.344918
0.002267574,0.344951
0.002380952,0.344984
0.002494331,0.345020
0.002607710,0.345053
0.002721088,0.345088
0.002834467,0.345124
0.002947846,0.345159
0.003061224,0.345195
0.003174603,0.345230
0.003287982,0.345268
0.003401361,0.345306
0.003514739,0.345346
0.003628118,0.345384
0.003741497,0.345427
0.003854875,0.345468
0.003968254,0.345511
0.004081633,0.345556
0.004195011,0.345601
0.004308390,0.345647
0.004421769,0.345695
0.004535147,0.345743
0.004648526,0.345793
0.004761905,0.345843
0.004875283,0.345896
0.004988662,0.345949
0.005102041,0.346005
0.005215420,0.346060
0.005328798,0.346115
0.005442177,0.346173
0.005555556,0.346231
0.005668934,0.346291
0.005782313,0.346352
0.005895692,0.346412
0.006009070,0.346472
0.006122449,0.346535
0.006235828,0.346598
0.006349206,0.346661
0.006462585,0.346723
0.006575964,0.346786
0.006689342,0.346852
0.006802721,0.346914
0.006916100,0.346980
0.007029478,0.347043
0.007142857,0.347108
0.007256236,0.347171
0.007369615,0.347236
0.007482993,0.347299
0.007596372,0.347362
0.007709751,0.347425
0.007823129,0.347487
0.007936508,0.347550
0.008049887,0.347613
0.008163265,0.347673
0.008276644,0.347736
0.008390023,0.347797
0.008503401,0.347855
0.008616780,0.347915
0.008730159,0.347973
0.008843537,0.348031
0.008956916,0.348086
0.009070295,0.348144
0.009183673,0.348197
0.009297052,0.348250
0.009410431,0.348303
0.009523810,0.348351
0.009637188,0.348402
0.009750567,0.348447
0.009863946,0.348493
0.009977324,0.348533
0.010090703,0.348574
0.010204082,0.348612
0.010317460,0.348648
0.010430839,0.348678
0.010544218,0.348709
0.010657596,0.348735
0.010770975,0.348758
0.010884354,0.348779
0.010997732,0.348794
0.011111111,0.348808
0.011224490,0.348816
0.011337868,0.348822
0.011451247,0.348823
0.011564626,0.348822
0.011678005,0.348815
0.011791383,0.348804
0.011904762,0.348787
0.012018141,0.348768
0.012131519,0.348745
0.012244898,0.348716
0.012358277,0.348685
0.012471655,0.348646
0.012585034,0.348602
0.012698413,0.348556
0.012811791,0.348505
0.012925170,0.348447
0.013038549,0.348386
0.013151927,0.348320
0.013265306,0.348249
0.013378685,0.348173
0.013492063,0.348092
0.013605442,0.348006
0.013718821,0.347916
0.013832200,0.347818
0.013945578,0.347717
0.014058957,0.347611
0.014172336,0.347501
0.014285714,0.347385
0.014399093,0.347263
0.014512472,0.347137
0.014625850,0.347004
0.014739229,0.346867
0.014852608,0.346724
0.014965986,0.346576
0.015079365,0.346421
0.015192744,0.346261
