label,3_u1_120_p
time_s,envelope_detrended
0.000000000,0.041745
0.000113379,0.044279
0.000226757,0.046813
0.000340136,0.049346
0.000453515,0.051878
0.000566893,0.054410
0.000680272,0.056941
0.000793651,0.059471
0.000907029,0.062000
0.001020408,0.064528
0.001133787,0.067056
0.001247166,0.069582
0.001360544,0.072107
0.001473923,0.074631
0.001587302,0.077154
0.001700680,0.079676
0.001814059,0.082196
0.001927438,0.084715
0.002040816,0.087233
0.002154195,0.089749
0.002267574,0.092264
0.002380952,0.094777
0.002494331,0.097289
0.002607710,0.099798
0.002721088,0.102307
0.002834467,0.104813
0.002947846,0.107318
0.003061224,0.109821
0.003174603,0.112323
0.003287982,0.114822
0.003401361,0.117319
0.003514739,0.119815
0.003628118,0.122309
0.003741497,0.124800
0.003854875,0.127290
0.003968254,0.129777
0.004081633,0.132263
0.004195011,0.134746
0.004308390,0.137227
0.004421769,0.139706
0.004535147,0.142182
0.004648526,0.144657
0.004761905,0.147129
0.004875283,0.149599
0.004988662,0.152066
0.005102041,0.154531
0.005215420,0.156994
0.005328798,0.159454
0.005442177,0.161912
0.005555556,0.164367
0.005668934,0.166820
0.005782313,0.169270
0.005895692,0.171718
0.006009070,0.174163
0.006122449,0.176606
0.006235828,0.179046
0.006349206,0.181483
0.006462585,0.183918
0.006575964,0.186350
0.006689342,0.188779
0.006802721,0.191205
0.006916100,0.193629
0.007029478,0.196050
0.007142857,0.198468
0.007256236,0.200884
0.007369615,0.203296
0.007482993,0.205706
0.007596372,0.208113
0.007709751,0.210517
0.007823129,0.212919
0.007936508,0.215317
0.008049887,0.217713
0.008163265,0.220106
0.008276644,0.222496
0.008390023,0.224883
0.008503401,0.227268
0.008616780,0.229649
0.008730159,0.232028
0.008843537,0.234403
0.008956916,0.236776
0.009070295,0.239146
0.009183673,0.241514
0.009297052,0.243878
0.009410431,0.246240
0.009523810,0.248598
0.009637188,0.250954
0.009750567,0.253308
0.009863946,0.255658
0.009977324,0.258005
0.010090703,0.260350
0.010204082,0.262692
0.010317460,0.265032
0.010430839,0.267368
0.010544218,0.269702
0.010657596,0.272033
0.010770975,0.274361
0.010884354,0.276687
0.010997732,0.279009
0.011111111,0.281329
0.011224490,0.283647
0.011337868,0.285962
0.011451247,0.288273
0.011564626,0.290583
0.011678005,0.292889
0.011791383,0.295193
0.011904762,0.297494
0.012018141,0.299793
0.012131519,0.302089
0.012244898,0.304382
0.012358277,0.306672
0.012471655,0.308960
0.012585034,0.311245
0.012698413,0.313527
0.012811791,0.315807
0.012925170,0.318084
0.013038549,0.320358
0.013151927,0.322629
0.013265306,0.324898
0.013378685,0.327164
0.013492063,0.329427
0.013605442,0.331688
0.013718821,0.333946
0.013832200,0.336201
0.013945578,0.338453
0.014058957,0.340703
0.014172336,0.342950
0.014285714,0.345195
0.014399093,0.347436
0.014512472,0.349675
0.014625850,0.351912
0.014739229,0.354145
0.014852608,0.356376
0.014965986,0.358604
0.015079365,0.360830
0.015192744,0.363053
0.015306122,0.365273
0.015419501,0.367491
0.015532880,0.369705
0.015646259,0.371918
0.015759637,0.374127
0.015873016,0.376334
0.015986395,0.378537
0.016099773,0.380739
0.016213152,0.382937
0.016326531,0.385133
0.016439909,0.387326
0.016553288,0.389516
0.016666667,0.391703
0.016780045,0.393887
0.016893424,0.396069
0.017006803,0.398247
0.017120181,0.400423
0.017233560,0.402596
0.017346939,0.404765
0.017460317,0.406932
0.017573696,0.409096
0.017687075,0.411256
0.017800454,0.413414
0.017913832,0.415568
0.018027211,0.417719
0.018140590,0.419867
0.018253968,0.422012
0.018367347,0.424153
0.018480726,0.426292
0.018594104,0.428426
0.018707483,0.430558
0.018820862,0.432686
0.018934240,0.434811
0.019047619,0.436932
0.019160998,0.439050
0.019274376,0.441164
0.019387755,0.443275
0.019501134,0.445383
0.019614512,0.447486
0.019727891,0.449586
0.019841270,0.451682
0.019954649,0.453775
0.020068027,0.455864
0.020181406,0.457949
0.020294785,0.460030
0.020408163,0.462108
0.020521542,0.464182
0.020634921,0.466252
0.020748299,0.468318
0.020861678,0.470380
0.020975057,0.472438
0.021088435,0.474492
0.021201814,0.476543
0.021315193,0.478589
0.021428571,0.480631
0.021541950,0.482669
0.021655329,0.484703
0.021768707,0.486733
0.021882086,0.488758
0.021995465,0.490780
0.022108844,0.492797
0.022222222,0.494810
0.022335601,0.496818
0.022448980,0.498822
0.022562358,0.500822
0.022675737,0.502817
0.022789116,0.504808
0.022902494,0.506795
0.023015873,0.508776
0.023129252,0.510754
0.023242630,0.512727
0.023356009,0.514695
0.023469388,0.516658
0.023582766,0.518617
0.023696145,0.520571
0.023809524,0.522521
0.023922902,0.524466
0.024036281,0.526406
0.024149660,0.528341
0.024263039,0.530272
0.024376417,0.532198
0.024489796,0.534119
0.024603175,0.536035
0.024716553,0.537946
0.024829932,0.539852
0.024943311,0.541754
0.025056689,0.543651
0.025170068,0.545542
0.025283447,0.547429
0.025396825,0.549311
0.025510204,0.551188
0.025623583,0.553060
0.025736961,0.554927
0.025850340,0.556789
0.025963719,0.558646
0.026077098,0.560498
0.026190476,0.562345
0.026303855,0.564188
0.026417234,0.566025
0.026530612,0.567857
0.026643991,0.569684
0.026757370,0.571506
0.026870748,0.573323
0.026984127,0.575135
0.027097506,0.576942
0.027210884,0.578744
0.027324263,0.580541
0.027437642,0.582333
0.027551020,0.584120
0.027664399,0.585901
0.027777778,0.587678
0.027891156,0.589450
0.028004535,0.591216
0.028117914,0.592978
0.028231293,0.594734
0.028344671,0.596485
0.028458050,0.598231
0.028571429,0.599972
0.028684807,0.601708
0.028798186,0.603438
0.028911565,0.605164
0.029024943,0.606884
0.029138322,0.608599
0.029251701,0.610309
0.029365079,0.612013
0.029478458,0.613713
0.029591837,0.615407
0.029705215,0.617096
0.029818594,0.618779
0.029931973,0.620458
0.030045351,0.622131
0.030158730,0.623799
0.030272109,0.625462
0.030385488,0.627119
0.030498866,0.628771
0.030612245,0.630418
0.030725624,0.632060
0.030839002,0.633696
0.030952381,0.635327
0.031065760,0.636953
0.031179138,0.638574
0.031292517,0.640189
0.031405896,0.641799
0.031519274,0.643404
0.031632653,0.645004
0.031746032,0.646598
0.031859410,0.648187
0.031972789,0.649771
0.032086168,0.651349
0.032199546,0.652923
0.032312925,0.654491
0.032426304,0.656054
0.032539683,0.657612
0.032653061,0.659164
0.032766440,0.660711
0.032879819,0.662253
0.032993197,0.663790
0.033106576,0.665322
0.033219955,0.666848
0.033333333,0.668370
0.033446712,0.669886
0.033560091,0.671396
0.033673469,0.672902
0.033786848,0.674402
0.033900227,0.675897
0.034013605,0.677387
0.034126984,0.678872
0.034240363,0.680351
0.034353741,0.681825
0.034467120,0.683294
0.034580499,0.684757
0.034693878,0.686216
0.034807256,0.687669
0.034920635,0.689116
0.035034014,0.690558
0.035147392,0.691995
0.035260771,0.693427
0.035374150,0.694853
0.035487528,0.696274
0.035600907,0.697690
