rank,frequency_hz,magnitude_db
1,3000.000,-28.282
2,2994.000,-37.400
3,3006.000,-43.064
4,3012.000,-52.984
5,391.750,-53.513
6,391.250,-57.954
7,2992.000,-59.909
8,2998.000,-61.896
9,391.000,-62.156
10,1371.375,-63.357
