time_s,trend
0.028684807,5.929932
0.028798186,5.929900
0.028911565,5.929866
0.029024943,5.929833
0.029138322,5.929801
0.029251701,5.929768
0.029365079,5.929734
0.029478458,5.929701
0.029591837,5.929668
0.029705215,5.929635
0.029818594,5.929602
0.029931973,5.929568
0.030045351,5.929535
0.030158730,5.929501
0.030272109,5.929468
0.030385488,5.929434
0.030498866,5.929400
0.030612245,5.929367
0.030725624,5.929333
0.030839002,5.929299
0.030952381,5.929265
0.031065760,5.929231
0.031179138,5.929197
0.031292517,5.929163
0.031405896,5.929129
0.031519274,5.929095
0.031632653,5.929061
0.031746032,5.929027
0.031859410,5.928992
0.031972789,5.928958
0.032086168,5.928924
0.032199546,5.928889
0.032312925,5.928854
0.032426304,5.928820
0.032539683,5.928785
0.032653061,5.928750
0.032766440,5.928715
0.032879819,5.928680
0.032993197,5.928646
0.033106576,5.928610
0.033219955,5.928575
0.033333333,5.928540
0.033446712,5.928505
0.033560091,5.928470
0.033673469,5.928434
0.033786848,5.928399
0.033900227,5.928364
0.034013605,5.928328
0.034126984,5.928293
0.034240363,5.928257
0.034353741,5.928221
0.034467120,5.928186
0.034580499,5.928150
0.034693878,5.928114
0.034807256,5.928078
0.034920635,5.928042
0.035034014,5.928006
0.035147392,5.927970
0.035260771,5.927934
0.035374150,5.927898
0.035487528,5.927862
0.035600907,5.927825
0.035714286,5.927789
0.035827664,5.927753
0.035941043,5.927716
0.036054422,5.927680
0.036167800,5.927643
0.036281179,5.927607
0.036394558,5.927570
0.036507937,5.927533
0.036621315,5.927496
0.036734694,5.927459
0.036848073,5.927423
0.036961451,5.927385
0.037074830,5.927348
0.037188209,5.927311
0.037301587,5.927274
0.037414966,5.927237
0.037528345,5.927199
0.037641723,5.927162
0.037755102,5.927125
0.037868481,5.927087
0.037981859,5.927050
0.038095238,5.927011
0.038208617,5.926974
0.038321995,5.926937
0.038435374,5.926898
0.038548753,5.926861
0.038662132,5.926823
0.038775510,5.926785
0.038888889,5.926747
0.039002268,5.926709
0.039115646,5.926671
0.039229025,5.926632
0.039342404,5.926594
0.039455782,5.926556
0.039569161,5.926517
0.039682540,5.926479
0.039795918,5.926440
0.039909297,5.926402
0.040022676,5.926363
0.040136054,5.926324
0.040249433,5.926286
0.040362812,5.926247
0.040476190,5.926208
0.040589569,5.926169
0.040702948,5.926130
0.040816327,5.926091
0.040929705,5.926052
0.041043084,5.926013
0.041156463,5.925973
0.041269841,5.925934
0.041383220,5.925894
