rank,frequency_hz,magnitude_db
1,3000.000,-20.356
2,3011.875,-42.289
3,386.625,-47.700
4,3004.000,-49.354
5,2988.125,-50.086
6,387.000,-53.843
7,1352.875,-58.738
8,2996.000,-59.262
9,2992.125,-59.996
10,1354.375,-60.784
