rank,frequency_hz,magnitude_db
1,3000.000,-15.351
2,3004.625,-51.660
3,2997.625,-56.728
4,2820.000,-59.017
5,452.875,-59.789
6,3013.875,-60.663
7,377.375,-62.460
8,3002.375,-62.471
9,2995.375,-62.548
10,180.000,-63.524
