rank,frequency_hz,magnitude_db
1,5.375,-18.214
2,16.000,-20.893
3,10.625,-23.548
4,2.625,-28.794
5,8.000,-37.570
6,13.250,-38.320
7,3.500,-38.542
8,8.375,-41.904
9,4.375,-41.929
10,7.500,-42.063
