rank,frequency_hz,magnitude_db
1,3000.000,-21.698
2,180.000,-58.367
3,2820.000,-61.690
4,3046.875,-63.224
5,3000.375,-66.064
6,3001.625,-67.893
7,2953.125,-70.061
8,2998.375,-70.679
9,2997.500,-72.591
10,122.000,-72.897
