rank,frequency_hz,magnitude_db
1,3000.000,-30.644
2,2990.750,-34.155
3,3009.250,-41.146
4,2981.500,-53.546
5,40.250,-58.653
6,39.375,-58.935
7,40.500,-59.611
8,39.000,-59.832
9,41.000,-60.105
10,39.750,-60.205
