rank,frequency_hz,magnitude_db
1,3000.000,-19.767
2,3006.000,-39.252
3,3002.000,-45.788
4,2994.000,-46.197
5,391.500,-53.947
6,2998.000,-55.355
7,392.250,-56.372
8,3001.000,-58.407
9,2996.000,-58.953
10,3004.000,-62.113
